Key	German	English
info.fake-wine.desc	"Dies ist ein aufgepeppter (und lukrativerer) Klinkerwein.\n\nDafür musst du in einer <link=""production-fake-wine"">Hinterzimmer-Weinkellerei</link> deinen <link=""brick-wine"">Klinkerwein</link> aus den Töpfen in <link=""bottles"">Flaschen</link> füllen, ein <link=""labels"">Etikett</link> draufkleben und diesen <link=""refined-booze"">raffinierten Alkohol</link> unter einem ausgefallenen französischen Namen verkaufen. Deine Kunde wissen vermutlich, dass dies eine Fälschung ist, werden aber trotzdem dafür bezahlen. Mit den richtigen Kompetenzen und Materialien kannst du ihn auch direkt aus <link=""grapes"">Trauben</link> in einer <link=""production-fake-wine-upgraded"">Hinterzimmer-Kellerei</link> gewinnen. Und den Klinkerwein anderswo verkaufen.\n\n<indent=15><b>Basispreis\n<sprite name=""ui sell""> $28 pro Kasten</b></indent>\n\n<i><indent=30>Gib mir mehr Wein oder lass mich in Ruhe.</i></indent>\n<indent=40>– Rumi</indent>"	"This is a gussied-up (and more lucrative) brick wine.\n\nAt a <link=""production-fake-wine"">Backroom Wine Operation</link>, transfer your <link=""brick-wine"">brick wine</link> from its crocks into some <link=""bottles"">bottles</link>, slap a <link=""labels"">label</link> on them sell this <link=""refined-booze"">refined booze</link> as something with a fancy French name. Your customers may know it's fake, but they'll pay just the same. With the right skills and materials, you can also make it directly from <link=""grapes"">grapes</link> at a <link=""production-fake-wine-upgraded"">Backroom Winery</link>. And sell the brick wine elsewhere.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $28 per case</b></indent>\n\n<i><indent=30>Either give me more wine or leave me alone.</i></indent>\n<indent=40>—Rumi</indent>"
info.sparkling-cider.icon	"<sprite name=""res sparkling-cider"">"	"<sprite name=""res sparkling-cider"">"
info.sparkling-cider.name	Apfelschaumwein	Sparkling Cider
info.sparkling-cider.desc	"Mit Zucker kannst du deinem Apfelwein Sprudel und einen zusätzlichen Gewinn entlocken.\n\nApfelschaumwein ist <link=""refined-booze"">raffinierter Alkohol</link>, der durch das Hinzufügen von <link=""sugar"">Zucker</link> zu gewöhnlichem <link=""cider"">Apfelwein</link> in einer <link=""production-sparkling-cider"">Apfelschaumweinkellerei</link> hergestellt und in <link=""small-bottles"">kleine Flaschen</link> abgefüllt wird. Dann hofft man, dass genug Kohlendioxid entsteht, um den Apfelwein sprudeln zu lassen, aber nicht so viel, dass er explodiert. Mit dem richtigen Wissen, kannst du die Produktion aufwerten, so dass Apfelschaumwein direkt aus <link=""apples"">Äpfeln</link> in einem <link=""production-sparkling-cider-upgraded"">Apfelschaumwein-Fermenter</link> zu gewinnen.\n\n<indent=15><b>Basispreis\n<sprite name=""ui sell""> $25 pro Kasten</b></indent>\n\n<i><indent=30>Gebt mir Brot von gestern, Fleisch von heute und Apfelwein von letztem Jahr.</i></indent>\n<indent=40> Benjamin Franklin</indent>"	"Use sugar to put extra profit and fizz into your hard cider.\n\nSparkling cider is a <link=""refined-booze"">refined booze</link> that is the result of adding some <link=""sugar"">sugar</link> to regular <link=""cider"">hard cider</link> at a <link=""production-sparkling-cider"">Sparkling Cider Operation</link>, putting it in <link=""small-bottles"">small bottles</link>, then waiting and hoping that enough carbon dioxide gets created to make your cider fizz. But not too much that makes them explode. With the right knowhow, you can upgrade to make sparkling cider directly from <link=""apples"">apples</link> at a <link=""production-sparkling-cider-upgraded"">Sparkling Cider Fermenter</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.bathtub-gin.icon	"<sprite name=""res bathtub-gin"">"	"<sprite name=""res bathtub-gin"">"
info.bathtub-gin.name	Badewannen-Gin	Bathtub Gin
info.bathtub-gin.desc	"Gewürze werden deinen Schwarzgebrannten in etwas verwandeln, das einem Cocktail würdig ist.\n\nIn einem <link=""production-bathtub-gin"">Badewannen-Ginwerk</link> wird dieser <link=""refined-booze"">raffinierte Alkohol</link> hergestellt, in dem <link=""moonshine"">Schwarzgebrannter</link> aus Töpfen mit <link=""spices"">Gewürzen</link> versetzt und in <link=""small-bottles"">kleine Flaschen</link> abgefüllt wird, um anschließend an die Flüsterkneipen der ganzen Stadt geliefert zu werden. Weitere Kompetenzen erlauben dir, ihn auch direkt aus <link=""corn-syrup"">Maissirup</link> in einer <link=""production-bathtub-gin-upgraded"">Badewannen-Gin-Brennblase</link> zu gewinnen und den Schwarzgebrannten für andere Zwecke zu nutzen.\n\n<indent=15><b>Basispreis\n<sprite name=""ui sell""> §24 pro Kasten</b></indent>\n\n<i><indent=30>Ich übe strenge Selbstkontrolle. Ich trinke vor dem Frühstück niemals etwas stärkeres als Gin.</i></indent>\n<indent=40>– W. C. Fields</indent>"	"Spices will turn your moonshine into something worthy of a cocktail.\n\nAt a <link=""production-bathtub-gin"">Bathtub Ginworks</link>, this <link=""refined-booze"">refined booze</link> is made when crocks of <link=""moonshine"">moonshine</link> are concocted with some <link=""spices"">spices</link>, put into <link=""small-bottles"">small bottles</link> and moved to speakeasies all over town. With some extra skills under your belt, you can also learn how to make it directly from <link=""corn-syrup"">corn syrup</link> at a <link=""production-bathtub-gin-upgraded"">Bathtub Gin Still</link> and put that moonshine to other uses.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $24 per case</b></indent>\n\n<i><indent=30>I exercise strong self control. I never drink anything stronger than gin before breakfast.</i></indent>\n<indent=40>—W.C. Fields</indent>"
info.moonshine.icon	"<sprite name=""res moonshine"">"	"<sprite name=""res moonshine"">"
info.moonshine.name	Schwarzgebrannter	Moonshine
info.moonshine.desc	"Ein starkes Getränk, das aus Neutralalkohol in Töpfen oder aus Mais hergestellt wird.\n\nDie Prohibition hat alle gezwungen, kreativ zu werden. <link=""moonshine"">Schwarzgebrannter</link> <link=""homemade-booze"">selbstgemachter Alkohol</link>, der in einer <link=""homebooze-moonshine"">Hinterzimmer-Schwarzbrennerei</link> hergestellt wird, indem die unangenehmen (und giftigen) Zusätze im <link=""neutral-alcohol"">Neutralalkohol</link> abgedampft werden und das leicht raffinierte Produkt anschließend in <link=""crocks"">Töpfen</link> verkauft wird.\n\n<indent=15><b>Basispreis\n<sprite name=""ui sell""> $20 pro Topf</b></indent>\n\n<i><indent=30>Die Prohibition treibt die Trunkenheit hinter geschlossene Türen und an dunkle Orte. Sie kuriert die Trunkenheit nicht.</i></indent>\n<indent=40>– Mark Twain</indent>"	"Made from neutral alcohol in crocks or from corn, a potent libation.\n\nProhibition has forced everyone into being creative with spirits. <link=""moonshine"">Moonshine</link> is <link=""homemade-booze"">homemade booze</link> made at a <link=""homebooze-moonshine"">Backroom Moonshine Operation</link> by evaporating off the unpleasant (and poisonous) additives in <link=""neutral-alcohol"">neutral alcohol</link> and then selling the slightly refined product by the <link=""crocks"">crock</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $20 per crock</b></indent>\n\n<i><indent=30>Prohibition only drives drunkenness behind doors and into dark places, and does not cure it or even diminish it.</i></indent>\n<indent=40>—Mark Twain</indent>"
info.brick-wine.icon	"<sprite name=""res brick-wine"">"	"<sprite name=""res brick-wine"">"
info.brick-wine.name	Klinkerwein	Brick Wine
info.brick-wine.desc	"Ziegel aus Traubenkonzentrat aus Kalifornien werden zu Töpfen voller Klinkerwein.\n\nWeingutsbesitzer in Kalifornien überfluteten den Rest des Landes mit einheitlich geformten Ziegeln aus dehydriertem <link=""grape-juice"">Traubenkonzentrat</link> und einigen sehr spezifischen Anweisungen, was zu tun sein, um die Gärung zu verhindern. Denn das wäre ja illegal. Steck sie einfach in <link=""crocks"">Steintöpfe</link> in einer <link=""homebooze-brick-wine"">Hinterzimmer-Klinkerweinkellerei</link>, mische alles mit Wasser und schon kannst du den entstandenen <link=""homemade-booze"">selbstgemachten Alkohol</link> verkaufen.\n\n<indent=15><b>Basispreis\n<sprite name=""ui sell""> $15 pro Topf</b></indent>\n\n<i><indent=30>Der Wein kann mit Recht als das gesündeste und hygienischste Getränk bezeichnet werden.</i></indent>\n<indent=40> Louis Pasteur"	"Bricks of grape concentrate from California turned into crocks of brick Wine.\n\nVineyard owners in California started flooding the rest of the country with uniformly shaped bricks of dehydrated <link=""grape-juice"">grape concentrate</link> and some very specific instructions of what to do to prevent fermentation. That would be illegal. Just put it in <link=""crocks"">stoneware crocks</link> at a <link=""homebooze-brick-wine"">Backroom Brick Wine Operation</link> and mix with water and you're good to go sell the resulting <link=""homemade-booze"">homemade booze</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $15 per crock</b></indent>\n\n<i><indent=30>Wine is the most healthful and most hygienic of beverages.</i></indent>\n<indent=40>—Louis Pasteur</indent>"
info.cider.icon	"<sprite name=""res cider"">"	"<sprite name=""res cider"">"
info.cider.name	Hard Cider	Hard Cider
info.cider.desc	"Einfacher Apfelsaft in Steintöpfen wird bald zu Apfelwein.\n\nApfelwein als <link=""homemade-booze"">selbstgemachter Alkohol</link> hat in den USA eine lange Geschichte. Während der Prohibition tauchten viele alte Familienrezepte wieder auf. In einer <link=""homebooze-cider"">Hinterzimmer-Apfelweinkellerei</link> musst du lediglich <link=""apple-juice"">Apfelsaft</link> in <link=""crocks"">Steintöpfe</link> füllen und auf die Magie der Gärung warten.\n\n<indent=15><b>Basispreis\n<sprite name=""ui sell""> $12 pro Topf</b></indent>\n\n<i><indent=30>Gebt mir Brot von gestern, Fleisch von heute und Apfelwein von letztem Jahr.</i></indent>\n<indent=40>– Benjamin Franklin</indent>"	"Simple apple juice left in stoneware crocks will soon turn into hard cider.\n\nCider—and specifically hard, alcoholic cider—has is a type of <link=""homemade-booze"">homemade booze</link> with a long history in the US. During Prohibition, lots of family recipes and dimly remembered recipes for hard cider reemerged. At a <link=""homebooze-cider"">Backroom Cider Operation</link>, take <link=""apple-juice"">apple juice</link>, mix into <link=""crocks"">stoneware crocks</link> and await the magic of fermentation.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $12 per crock</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.home-brew.icon	"<sprite name=""res home-brew"">"	"<sprite name=""res home-brew"">"
info.home-brew.name	Heimbräu	Homemade Beer
info.home-brew.desc	"Malzextrakt von den nun stillgelegten Brauereien kann leicht in Heimbräu umgewandelt werden.\n\nAls 1920 die Brauereien in den USA plötzlich obsolet wurden, begannen einige mit der Herstellung von <link=""malt"">Malzextrakt</link>. Und sie fügten sorgfältige Anweisungen hinzu, damit daraus in einem Gärungsprozess nicht aus Versehen, nun ja, Bier wird. In <link=""homebooze-home-brew"">Hinterzimmer-Heimbräubrauereien</link> werden mit <link=""crocks"">Steintöpfen</link> und Malzextrakt große Mengen Heimbräu hergestellt.\n\n<indent=15><b>Basispreis\n<sprite name=""ui sell""> $8 pro Topf</b></indent>\n\n<i><indent=30>Kde se pivo vaří, tam se dobře daří.</i></indent>\n<indent=40>– Tschechisches Sprichwort</indent>"	"Malt syrup churned out by now dry breweries easily converts to homemade beer.\n\nWhen 1920 made the breweries all over the US suddenly obsolete, some began making <link=""malt"">malt syrup</link>. And they included careful instructions to help the general public avoid its unfortunate tendency to ferment into, well, beer. <link=""homebooze-home-brew"">Backroom Home Brew Operations</link> make use of <link=""crocks"">stoneware crocks</link> and malt syrup to produce large amounts of homemade beer.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $8 per crock</b></indent>\n\n<i><indent=30>Kde se pivo vaří, tam se dobře daří.</i></indent>\n<indent=40>—Czech proverb</indent>"
info.grape-juice.icon	"<sprite name=""res grape-juice"">"	"<sprite name=""res grape-juice"">"
info.grape-juice.name	Traubenkonzentrat	Grape Concentrate
info.grape-juice.desc	"Aus Trauben hergestellt und dem Gärungsprozess überlassen.\n\n1920 sahen sich die Weingutsbesitzer einigen schwierigen Entscheidungen gegenüber. Einige pflanzten andere Dinge an. Manche gaben vollständig auf. Doch andere machten einfach weiter. Sie wandelten ihre Ernte einfach in konzentrierte Ziegel zum leichteren Versand um. Manchmal wurden sogar Aromapäckchen für Portwein oder Sherry beigefügt. Kann in einer <link=""conversion-grape-juice"">Traubenpresse</link> aus <link=""grapes"">Trauben</link> gewonnen und in <link=""half-barrel"">kleine Fässer</link> abgefüllt werden.\n\n<indent=15><b>Basispreis\n<sprite name=""ui buy""> $12 pro kleinem Fass</b></indent>\n\n<i><indent=30>Jeder Ziegelstein ergibt, aufgelöst in einer Gallone Wasser, eine Gallone unvergorenen, alkoholfreien Punschsaft. Um die Gärung zu verhindern, fügen Sie 1-10 % Natriumbenzoat hinzu.</i></indent>\n<indent=40>– Anweisungen auf den Traubenziegeln von „Vino Sano California“</indent>"	"Made from grapes and never to be left to ferment.\n\nVineyard owners faced some tough decisions in 1920. Some planted other things. Some went out of business entirely. But some kept growing. They just converted their harvests into concentrated bricks for easy shipment. Some included flavor packets for things like port or sherry. Can be made at a <link=""conversion-grape-juice"">Grape Press</link> from <link=""grapes"">grapes</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $12 per small barrel</b></indent>\n\n<i><indent=30>Each brick dissolved in gallon of water produces gallon of unfermented, non-alcoholic punch juice. To prevent fermentation add 1-10% benzoate of soda.</i></indent>\n<indent=40>—Directions on Vino Sano California Grape Bricks</indent>"
info.malt.icon	"<sprite name=""res malt"">"	"<sprite name=""res malt"">"
info.malt.name	Malzextrakt	Malt Syrup
info.malt.desc	"Dickflüssiger Sirup aus gekeimter Gerste, der zum Gären neigt.\n\n1920 sahen sich die Brauereien einer schrecklichen Krise gegenüber. Durch das Verbot der Bierherstellung wandten sich einige der Herstellung von Eiscreme oder Limonade zu. Andere jedoch entfachten einen neuen Gesundheitshype, als die Amerikaner entdeckten, dass Malzextrakt besonders gesund ist. Natürlich ließen sie ihn <i>niemals</i> zu bierähnlichen Getränken gären. Kann in <link=""conversion-malt"">Malzanlagen</link> aus <link=""barley"">Gerste</link> gewonnen werden.\n\n<indent=15><b>Basispreis\n<sprite name=""ui buy""> $5 pro kleinem Fass</b></indent>\n\n<i><indent=30>Es gibt Zeiten, in denen das Gehirn so an unserer Lebenskraft zehrt, dass wir die Nahrung nicht verdauen können und keine Kraft gewinnen aus dem, was wir essen. Wenn wir dies zulassen, säen wir die Saat der Schwäche, die zur Krankheit erblühen wird. Handeln Sie sofort! Pabst Malzextrakt – das „beste“ Tonikum.</i></indent>\n<indent=40>– Werbung für „Pabst Malt Tonic“</indent>"	"Thick syrup made from sprouted barley that tends to ferment.\n\nBreweries faced a mortal crisis in 1920. Forbidden to make beer, some turned to making ice cream or soda. Some, however, kindled a new health kick, particular to the era when Americans discovered the unique health benefits of drinking malt syrup — which they <i>never</i> left to ferment into a beer-like beverage. Can be made at a <link=""conversion-malt"">Malt Processor</link> from <link=""barley"">barley</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per small barrel</b></indent>\n\n<i><indent=30>There are times when the brain draws so upon our vitality that we cannot digest our food, we gain no strength from what we eat. If we let this go on, we sow the seeds of weakness which will blossom in disease. Act at once! Pabst Malt Extract - the ""Best"" Tonic.</i></indent>\n<indent=40>—Pabst Malt Tonic Advertisement</indent>"
info.apple-juice.icon	"<sprite name=""res apple-juice"">"	"<sprite name=""res apple-juice"">"
info.apple-juice.name	Apfelsaft	Apple Juice
info.apple-juice.desc	"Mit ein wenig Fachwissen kann Apfelsaft leicht in Apfelwein umgewandelt werden.\n\nWeinbrand und Apfelwein aus Äpfeln waren einst die verbreitetsten Alkoholika in den USA. Nun kannst du die Allgegenwart des bescheidenen Apfels zur Herstellung von <link=""cider"">Apfelwein</link> nutzen. Kann in <link=""conversion-apple-juice"">Apfelpressen</link> aus <link=""apples"">Äpfeln</link> gewonnen und in <link=""half-barrel"">kleine Fässer</link> abgefüllt werden.\n\n<indent=15><b>Basispreis\n<sprite name=""ui buy""> $8 pro kleinem Fass</b></indent>\n\n<i><indent=30>Ein Gentleman in New Haven County, Connecticut, hat kürzlich angeordnet, dass eine schöne Apfelplantage abgeholzt werden soll, „weil die Äpfel zu Apfelwein gemacht werden können, der Apfelwein zu einem alkoholischen Getränk destilliert werden kann und das Getränk, wenn es getrunken wird, einen Mann betrunken macht“.</i></indent>\n<indent=40>– Bericht der Phoenix Gazette über Mäßigung, 10. Juli 1829</indent>"	"Apple juice easily converts to hard cider with just a bit of common knowhow.\n\nBrandy and hard cider made from apples were once the most common forms of alcoholic beverage in the US. Now you can use the ubiquity of the humble apple to craft <link=""cider"">cider</link> for sale. Can be made in a <link=""conversion-apple-juice"">Apple Press</link> with <link=""apples"">apples</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $8 per small barrel</b></indent>\n\n<i><indent=30>A gentleman in New Haven County, Conn. has recently ordered a fine apple orchard to to be cut down ""because the apples may be ground into cider, the cider may be distilled into a spiritous liquor and liquor, if drunken, will make a man drunk"".</i></indent>\n<indent=40>—Phenix Gazette report on Temperance, July 10, 1829</indent>"
info.neutral-alcohol.icon	"<sprite name=""res alcohol-btl"">"	"<sprite name=""res alcohol-btl"">"
info.neutral-alcohol.name	Neutralalkohol	Neutral Alcohol
info.neutral-alcohol.desc	"Ungenießbarer Alkohol für kommerzielle und industrielle Zwecke.\n\nDer Volstead Act verbot die Produktion von Alkohol zum Verzehr, wie zum Beispiel Whisky. Doch industrielles Ethanol war einfach zu nützlich und notwendig für viele Dinge, als dass man ihn hätte verbieten können. Daher sah das Gesetz vor, dass legaler Alkohol für den Konsum unbrauchbar gemacht wurde. Diesen Zustand kann man allerdings leicht umkehren, um Schwarzgebrannten zu gewinnen. Kann in einer <link=""conversion-neutral-alcohol"">Einfachen Hinterzimmer-Destille</link> aus <link=""corn-syrup"">Maissirup</link> hergestellt und in <link=""bottles"">Flaschen</link> abgefüllt werden.\n\n<indent=15><b>\nBasispreis<sprite name=""ui buy""></b> $14 pro Kasten</indent>\n\n<i><indent=30>Nicht für den Konsum bestimmter Alkohol … darf hergestellt, gekauft, verkauft, getauscht, transportiert, importiert, exportiert, geliefert und besessen werden, aber nur wie hierin vorgesehen. Kommissionsmitglieder können auf Antrag Genehmigungen dafür ausstellen.</i></indent>\n<indent=40>– Volstead Act, Titel II, Abschnitt 3</indent>"	"Alcohol made undrinkable, but suitable for commercial and industrial purposes.\n\nThe Volstead Act prohibited the production of alcohol intended for consumption, such as whiskey. But industrial ethanol was just too useful and necessary to so many things to ban. So the law required that legal alcohol be made unsuitable for consumption. However, that state is easily reversed if you want to turn it into moonshine. Can be made from <link=""corn-syrup"">corn syrup</link> and <link=""bottles"">bottles</link> at a <link=""conversion-neutral-alcohol"">Backroom Basic Distillery</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $14 per case</b></indent>\n\n<i><indent=30>Liquor for nonbeverage purposes ... may be manufactured, purchased, sold, bartered, transported, imported, exported, delivered, furnished and possessed, but only as herein provided and the commissioner may, upon application, issue permits therefor.</i></indent>\n<indent=40>—The Volstead Act, Title II, Sec 3</indent>"
info.crocks.icon	"<sprite name=""res jugs"">"	"<sprite name=""res jugs"">"
info.crocks.name	Steintöpfe	Stoneware Crocks
info.crocks.desc	"Ein einfaches, gängiges Behältnis für selbstgemachten Alkohol.\n\nSteintöpfe wurden für einfach alles genutzt. Sie sind billig, voluminös und können leicht transportiert werden.\n\n<indent=15><b>Basispreis\n<sprite name=""ui buy""> $2 pro Stück</b></indent>\n\n<i><indent=30>Ich bin ein Idealist. Ich weiß nicht, wohin ich gehe, aber ich gehe meinen Weg.</i></indent>\n<indent=40>– Carl Sandburg</indent>"	"A basic, common container for making basic homemade booze.\n\nStoneware crocks were used for just about everything. They're cheap, voluminous and easily transported.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $2 each</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.small-bottles.icon	"<sprite name=""res small-bottles"">"	"<sprite name=""res small-bottles"">"
info.small-bottles.name	Kleine Flaschen	Small Bottles
info.small-bottles.desc	"Kleine Spirituosenflaschen für stärkere Getränke.\n\nKleine Flaschen eignen sich für einige Arten von alkoholischen Getränken und andere Flüssigkeiten.\n\n<indent=15><b>Basispreis\n<sprite name=""ui buy""> $3 pro Kasten</b></indent>\n\n<i><indent=30>Ich bin ein Idealist. Ich weiß nicht, wohin ich gehe, aber ich gehe meinen Weg.</i></indent>\n<indent=40>– Carl Sandburg</indent>"	"Small liquor bottles for the more potent drinks.\n\nSmall bottles are for bottling some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.bottles.icon	"<sprite name=""res bottles"">"	"<sprite name=""res bottles"">"
info.bottles.name	Flaschen	Bottles
info.bottles.desc	"Flaschen normaler Größe.\n\nFlaschen eignen sich für die Herstellung, den Transport und die Lagerung einiger Arten von alkoholischen Getränken und anderer Flüssigkeiten.\n\n<indent=15><b>Basispreis\n<sprite name=""ui buy""> $5 pro Kasten</b></indent>\n\n<i><indent=30>Drum on your drums, batter on your banjos, sob on the long cool winding saxophones. Go to it, O jazzmen.</i></indent>\n<indent=40>– Carl Sandburg</indent>"	"Regular-sized bottles.\n\nBottles are for manufacture, transport and storage of some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per case</b></indent>\n\n<i><indent=30>Drum on your drums, batter on your banjos, sob on the long cool winding saxophones. Go to it, O jazzmen.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.sugar.icon	"<sprite name=""res sugar"">"	"<sprite name=""res sugar"">"
info.sugar.name	Zucker	Sugar
info.sugar.desc	"Saccharum officinarum\n\nHefenahrung. Zucker ist nützlich zur Förderung der Hefeproduktion und sorgt für ordentlich Sprudel.\n\n<indent=15><b>Basispreis\n<sprite name=""ui buy""> $6 pro Kasten</b></indent>\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation’s Freight Handler; Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>– Carl Sandburg</indent>"	"Saccharum officinarum\n\nYeast food. Sugar is useful for encouraging the production of yeast and getting things to fizz up.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.hops.icon	"<sprite name=""res hops"">"	"<sprite name=""res hops"">"
info.hops.name	Hopfen	Hops
info.hops.desc	"Humulus lupulus\n\nAus Hefe, Gerste und Wasser wird Bier gebraut. Hopfen verleiht dem Ganzen Geruch und Geschmack und macht aus deinem Gebräu etwas Bierartigeres.\n\n<indent=15><b>Basispreis\n<sprite name=""ui buy""> $25 pro Kiste</b></indent>\n\n<i><indent=30>Hopfen und Malz, Gott erhalt’s.</i></indent>\n<indent=40>– Deutscher Trinkspruch</indent>"	"Humulus lupulus\n\nWith yeast, barley and water they make beer. Hops add the fragrance and flavor to beer and can be used to infuse your brew with more beer-ness.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $25 per crate</b></indent>\n\n<i><indent=30>Hopfen und Malz Gott erhalt's.</i></indent>\n<indent=40>—German toast</indent>"
info.spices.icon	"<sprite name=""res spices"">"	"<sprite name=""res spices"">"
info.spices.name	Gewürze	Spices
