Key	Simplified Chinese	English
info.fake-beer.desc	"自酿啤酒加入啤酒花后，能够产生利润率更高的商品。\n\n仿制啤酒的质量更好，与禁酒令颁布前大型酿酒厂的产品几乎一模一样。这种<link=""refined-booze"">精酿私酒</link>经由<link=""production-fake-beer"">仿制啤酒业务</link>产出，通过将<link=""hops"">啤酒花</link>与<link=""home-brew"">自酿啤酒</link>进行混合而成。随后再将其装入<link=""small-bottles"">小瓶</link>，运送给那些渴望酒水的顾客。拥有了所需的知识与升级后，仿制啤酒甚至可以直接使用<link=""barley"">大麦</link>与啤酒花，在<link=""production-fake-beer-upgraded"">非法啤酒酿造厂</link>中酿造。\n\n<indent=15><b>基础价格为\n<sprite name=""ui sell""> $25/箱</b></indent>\n\n<i><indent=30>无论谁喝到这种啤酒，都快很快睡着；睡得足够久的，都不是罪人；而不是罪人的，都能进入天堂！所以，来喝啤酒吧！</indent></i>\n<indent=40>—马丁·路德</indent>"	"Homemade beer meets hops to create a more profitable quaff.\n\nBackroom Beer is a better quality facsimile of what the big breweries were making before Prohibition began. This <link=""refined-booze"">refined booze</link> is made at a <link=""production-fake-beer"">Backroom Beer Operation</link> by combining <link=""hops"">hops</link> with <link=""home-brew"">homemade beer</link> and then packaging that up in <link=""small-bottles"">small bottles</link> to ship out to thirsty customers. With the proper knowledge and upgrades, it can also be made directly from <link=""barley"">barley</link> and hops in a <link=""production-fake-beer-upgraded"">Backroom Brewery</link>.\n\n<indent=15><b>Base Pricing\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Whoever drinks beer, he is quick to sleep; whoever sleeps long, does not sin; whoever does not sin, enters Heaven! Thus, let us drink beer!</indent></i>\n<indent=40>—Martin Luther</indent>"
info.fake-wine.icon	"<sprite name=""res fake-wine"">"	"<sprite name=""res fake-wine"">"
info.fake-wine.name	仿制葡萄酒	Counterfeit Wine
info.fake-wine.desc	"这是一种经过包装的（利润率更高的）自酿葡萄酒。\n\n通过<link=""production-fake-wine"">仿制葡萄酒业务</link>，将你的罐装<link=""brick-wine"">自酿葡萄酒</link>倒入<link=""bottles"">瓶中</link>，贴上<link=""labels"">标签</link>，并为这种<link=""refined-booze"">精酿私酒</link>取上一个法文名字然后出售。虽然你的顾客可能知道它们是假的，但他们依然愿意为之买单。拥有了所需的技能和材料后，你还可以直接使用<link=""grapes"">葡萄</link>在<link=""production-fake-wine-upgraded"">非法葡萄酒厂</link>中进行酿造，随后将其卖往别处。\n\n<indent=15><b>基础价格为\n<sprite name=""ui sell""> $28/箱</b></indent>\n\n<i><indent=30>要么再给我一些葡萄酒，要么离我远点。</i></indent>\n<indent=40>—鲁米</indent>"	"This is a gussied-up (and more lucrative) brick wine.\n\nAt a <link=""production-fake-wine"">Backroom Wine Operation</link>, transfer your <link=""brick-wine"">brick wine</link> from its crocks into some <link=""bottles"">bottles</link>, slap a <link=""labels"">label</link> on them sell this <link=""refined-booze"">refined booze</link> as something with a fancy French name. Your customers may know it's fake, but they'll pay just the same. With the right skills and materials, you can also make it directly from <link=""grapes"">grapes</link> at a <link=""production-fake-wine-upgraded"">Backroom Winery</link>. And sell the brick wine elsewhere.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $28 per case</b></indent>\n\n<i><indent=30>Either give me more wine or leave me alone.</i></indent>\n<indent=40>—Rumi</indent>"
info.sparkling-cider.icon	"<sprite name=""res sparkling-cider"">"	"<sprite name=""res sparkling-cider"">"
info.sparkling-cider.name	气泡苹果酒	Sparkling Cider
info.sparkling-cider.desc	"使用糖在你的苹果酒中添加一些气泡和附加价值。\n\n气泡苹果酒是一种<link=""refined-booze"">精酿私酒</link> ，即通过<link=""production-sparkling-cider"">气泡苹果酒业务</link>将一些<link=""sugar"">糖</link>添加到常规的<link=""cider"">苹果酒</link>中，并将其倒入<link=""small-bottles"">小瓶子</link>里，随后等待一段时间，直到里面产生足够多的二氧化碳，令你的苹果酒中出现气泡。但二氧化碳过多也会导致爆炸。掌握了正确的知识后，你就可以进行升级，直接使用<link=""apples"">苹果</link>，在<link=""production-sparkling-cider-upgraded"">气泡苹果酒发酵桶</link>中生产气泡苹果酒。\n\n<indent=15><b>基础价格为\n<sprite name=""ui sell""> $25/箱</b></indent>\n\n<i><indent=30>给我昨日的面包，今日的鲜肉和去年的苹果酒。</i></indent>\n<indent=40>—本杰明·富兰克林</indent>"	"Use sugar to put extra profit and fizz into your hard cider.\n\nSparkling cider is a <link=""refined-booze"">refined booze</link> that is the result of adding some <link=""sugar"">sugar</link> to regular <link=""cider"">hard cider</link> at a <link=""production-sparkling-cider"">Sparkling Cider Operation</link>, putting it in <link=""small-bottles"">small bottles</link>, then waiting and hoping that enough carbon dioxide gets created to make your cider fizz. But not too much that makes them explode. With the right knowhow, you can upgrade to make sparkling cider directly from <link=""apples"">apples</link> at a <link=""production-sparkling-cider-upgraded"">Sparkling Cider Fermenter</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.bathtub-gin.icon	"<sprite name=""res bathtub-gin"">"	"<sprite name=""res bathtub-gin"">"
info.bathtub-gin.name	自酿金酒	Bathtub Gin
info.bathtub-gin.desc	"香料能够将你的私酒变成更有价值的鸡尾酒基酒。\n\n在<link=""production-bathtub-gin"">自酿金酒设施</link>中，这种<link=""refined-booze"">精酿私酒</link>的生产工艺是：将罐装<link=""moonshine"">私酒</link>与一些<link=""spices"">香料</link>进行混合，随后倒入<link=""small-bottles"">小瓶中</link>，最后再运往城内各处地下酒吧。掌握了一些额外技能后，你还可以学习如何直接使用<link=""corn-syrup"">玉米糖浆</link>在<link=""production-bathtub-gin-upgraded"">自酿金酒蒸馏设备</link>中生产自酿金酒，将手中的私酒用作其他用途。\n\n<indent=15><b>基础价格为\n<sprite name=""ui sell""> $24/箱</b></indent>\n\n<i><indent=30>我有着很强的自控能力，绝不会在早餐前喝下任何比金酒更烈的酒水。</i></indent>\n<indent=40>—W.·C.·菲尔兹</indent>"	"Spices will turn your moonshine into something worthy of a cocktail.\n\nAt a <link=""production-bathtub-gin"">Bathtub Ginworks</link>, this <link=""refined-booze"">refined booze</link> is made when crocks of <link=""moonshine"">moonshine</link> are concocted with some <link=""spices"">spices</link>, put into <link=""small-bottles"">small bottles</link> and moved to speakeasies all over town. With some extra skills under your belt, you can also learn how to make it directly from <link=""corn-syrup"">corn syrup</link> at a <link=""production-bathtub-gin-upgraded"">Bathtub Gin Still</link> and put that moonshine to other uses.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $24 per case</b></indent>\n\n<i><indent=30>I exercise strong self control. I never drink anything stronger than gin before breakfast.</i></indent>\n<indent=40>—W.C. Fields</indent>"
info.moonshine.icon	"<sprite name=""res moonshine"">"	"<sprite name=""res moonshine"">"
info.moonshine.name	私酒	Moonshine
info.moonshine.desc	"使用中性酒精或玉米在粗陶罐中酿造的烈酒。\n\n禁酒令强迫所有人发挥想象力。<link=""moonshine"">私酒</link>是一种通过<link=""homebooze-moonshine"">非法私酒业务</link>产出的<link=""homemade-booze"">自酿私酒</link>，将<link=""neutral-alcohol"">中性酒精</link>中令人讨厌（以及有毒）的成分蒸馏出去后，再将这种略加提纯的产品装在<link=""crocks"">罐子</link>中卖出。\n\n<indent=15><b>基础价格为\n<sprite name=""ui sell""> $20/罐</b></indent>\n\n<i><indent=30>禁酒令只是让醉酒发生在门后和黑暗之中，完全没有解决或减少这类问题。</i></indent>\n<indent=40>—马克·吐温</indent>"	"Made from neutral alcohol in crocks or from corn, a potent libation.\n\nProhibition has forced everyone into being creative with spirits. <link=""moonshine"">Moonshine</link> is <link=""homemade-booze"">homemade booze</link> made at a <link=""homebooze-moonshine"">Backroom Moonshine Operation</link> by evaporating off the unpleasant (and poisonous) additives in <link=""neutral-alcohol"">neutral alcohol</link> and then selling the slightly refined product by the <link=""crocks"">crock</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $20 per crock</b></indent>\n\n<i><indent=30>Prohibition only drives drunkenness behind doors and into dark places, and does not cure it or even diminish it.</i></indent>\n<indent=40>—Mark Twain</indent>"
info.brick-wine.icon	"<sprite name=""res brick-wine"">"	"<sprite name=""res brick-wine"">"
info.brick-wine.name	自酿葡萄酒	Brick Wine
info.brick-wine.desc	"来自加利福尼亚的葡萄汁被制成了一罐又一罐自酿葡萄酒。\n\n加利福尼亚的葡萄庄园主们将形状整齐的脱水<link=""grape-juice"">葡萄砖</link>送往了国内各处，并会指导买家如何防止发酵——因为那是违法的。通过<link=""homebooze-brick-wine"">非法自酿葡萄酒业务</link>将它们放在<link=""crocks"">粗陶罐</link>中，然后将其与水进行混合，就能获得质量上乘的<link=""homemade-booze"">自酿私酒</link>了。\n\n<indent=15><b>基础价格为\n<sprite name=""ui sell""> $15/罐</b></indent>\n\n<i><indent=30>葡萄酒是最健康、最卫生的饮料。</i></indent>\n<indent=40>—路易斯·巴斯德</indent>"	"Bricks of grape concentrate from California turned into crocks of brick Wine.\n\nVineyard owners in California started flooding the rest of the country with uniformly shaped bricks of dehydrated <link=""grape-juice"">grape concentrate</link> and some very specific instructions of what to do to prevent fermentation. That would be illegal. Just put it in <link=""crocks"">stoneware crocks</link> at a <link=""homebooze-brick-wine"">Backroom Brick Wine Operation</link> and mix with water and you're good to go sell the resulting <link=""homemade-booze"">homemade booze</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $15 per crock</b></indent>\n\n<i><indent=30>Wine is the most healthful and most hygienic of beverages.</i></indent>\n<indent=40>—Louis Pasteur</indent>"
info.cider.icon	"<sprite name=""res cider"">"	"<sprite name=""res cider"">"
info.cider.name	苹果酒	Hard Cider
info.cider.desc	"将普通的苹果汁放在粗陶罐里静置一段时间后，它们就会变成苹果酒。\n\n苹果酒，一种烈性酒精饮料，是一种在美国境内历史悠久的<link=""homemade-booze"">自酿私酒</link>。在禁酒时期，许多与苹果酒有关的家族配方和失传配方重现江湖。通过<link=""homebooze-cider"">非法苹果酒业务</link>，将<link=""apple-juice"">苹果汁</link>倒入<link=""crocks"">粗陶罐</link>中，见证发酵的魔力。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $12/罐</b></indent>\n\n<i><indent=30>给我昨日的面包，今日的鲜肉和去年的苹果酒。</i></indent>\n<indent=40>—本杰明·富兰克林</indent>"	"Simple apple juice left in stoneware crocks will soon turn into hard cider.\n\nCider—and specifically hard, alcoholic cider—has is a type of <link=""homemade-booze"">homemade booze</link> with a long history in the US. During Prohibition, lots of family recipes and dimly remembered recipes for hard cider reemerged. At a <link=""homebooze-cider"">Backroom Cider Operation</link>, take <link=""apple-juice"">apple juice</link>, mix into <link=""crocks"">stoneware crocks</link> and await the magic of fermentation.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $12 per crock</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.home-brew.icon	"<sprite name=""res home-brew"">"	"<sprite name=""res home-brew"">"
info.home-brew.name	自酿啤酒	Homemade Beer
info.home-brew.desc	"通过干法发酵，能够轻松地将大量麦芽糖浆制成自酿啤酒。\n\n在1920年，全美所有酿酒厂突然遭到废弃后，有一些人开始制作<link=""malt"">麦芽糖浆</link>。并且会小心谨慎地指导大众如何避免引起发酵，从而酿成悲剧的，那个，啤酒。通过<link=""homebooze-home-brew"">非法自酿业务</link>能够使用<link=""crocks"">粗陶罐</link>和麦芽糖浆产出大量自酿啤酒。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $8/罐</b></indent>\n\n<i><indent=30>生产啤酒的地方，就是好地方。</i></indent>\n<indent=40>—捷克谚语</indent>"	"Malt syrup churned out by now dry breweries easily converts to homemade beer.\n\nWhen 1920 made the breweries all over the US suddenly obsolete, some began making <link=""malt"">malt syrup</link>. And they included careful instructions to help the general public avoid its unfortunate tendency to ferment into, well, beer. <link=""homebooze-home-brew"">Backroom Home Brew Operations</link> make use of <link=""crocks"">stoneware crocks</link> and malt syrup to produce large amounts of homemade beer.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $8 per crock</b></indent>\n\n<i><indent=30>Kde se pivo vaří, tam se dobře daří.</i></indent>\n<indent=40>—Czech proverb</indent>"
info.grape-juice.icon	"<sprite name=""res grape-juice"">"	"<sprite name=""res grape-juice"">"
info.grape-juice.name	葡萄汁	Grape Concentrate
info.grape-juice.desc	"由葡萄制成，永远不要任由其发酵。\n\n葡萄庄园主在1920年面临了许多困难的抉择。一些改种其他作物，一些完全离开了这个行当，但还有一些在继续种植葡萄。他们将自己的收成制作成了易于运输的葡萄砖，作为波尔图酒和雪莉酒的调味剂。可在<link=""conversion-grape-juice"">葡萄榨汁机</link>中使用<link=""grapes"">葡萄</link>和<link=""half-barrel"">小桶</link>进行制作。\n\n<indent=15><b>基础价格为\n<sprite name=""ui buy""> $12/小桶</b></indent>\n\n<i><indent=30>每个在一加仑水中溶解的葡萄砖都能产生一加仑未发酵、无酒精的葡萄汁。为避免发酵，需添加1-10%苯甲酸盐含量的苏打。</i></indent>\n<indent=40>—维诺·萨诺加利福尼亚葡萄砖上的指示</indent>"	"Made from grapes and never to be left to ferment.\n\nVineyard owners faced some tough decisions in 1920. Some planted other things. Some went out of business entirely. But some kept growing. They just converted their harvests into concentrated bricks for easy shipment. Some included flavor packets for things like port or sherry. Can be made at a <link=""conversion-grape-juice"">Grape Press</link> from <link=""grapes"">grapes</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $12 per small barrel</b></indent>\n\n<i><indent=30>Each brick dissolved in gallon of water produces gallon of unfermented, non-alcoholic punch juice. To prevent fermentation add 1-10% benzoate of soda.</i></indent>\n<indent=40>—Directions on Vino Sano California Grape Bricks</indent>"
info.malt.icon	"<sprite name=""res malt"">"	"<sprite name=""res malt"">"
info.malt.name	麦芽糖浆	Malt Syrup
info.malt.desc	"这种使用发芽大麦制成的浓稠糖浆的作用就是发酵。\n\n酿酒厂在1920年遭遇了致命危机。由于酿造啤酒遭到禁止，一些人改行做起了冰淇淋或苏打水。但另一些人，在这个美国人发现饮用麦芽糖浆制品有利于身体健康的时代，发明出了一种全新的健康饮料——但他们<i>绝不会</i>任其发酵成类似啤酒的饮料。可在<link=""conversion-malt"">麦芽处理机</link>中使用<link=""barley"">大麦</link>进行制作。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $5/小桶</b></indent>\n\n<i><indent=30>很多时候，我们的大脑需要汲取一些我们无法通过进食获得的精力。如果我们对这种情况放任不顾，就会种下虚弱的种子，最终绽放出名为疾病的花朵。立即进行补救！帕布斯特麦芽提取物，“最棒的”补剂。</i></indent>\n<indent=40>—帕布斯特麦芽补剂的广告语</indent>"	"Thick syrup made from sprouted barley that tends to ferment.\n\nBreweries faced a mortal crisis in 1920. Forbidden to make beer, some turned to making ice cream or soda. Some, however, kindled a new health kick, particular to the era when Americans discovered the unique health benefits of drinking malt syrup — which they <i>never</i> left to ferment into a beer-like beverage. Can be made at a <link=""conversion-malt"">Malt Processor</link> from <link=""barley"">barley</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per small barrel</b></indent>\n\n<i><indent=30>There are times when the brain draws so upon our vitality that we cannot digest our food, we gain no strength from what we eat. If we let this go on, we sow the seeds of weakness which will blossom in disease. Act at once! Pabst Malt Extract - the ""Best"" Tonic.</i></indent>\n<indent=40>—Pabst Malt Tonic Advertisement</indent>"
info.apple-juice.icon	"<sprite name=""res apple-juice"">"	"<sprite name=""res apple-juice"">"
info.apple-juice.name	苹果汁	Apple Juice
info.apple-juice.desc	"只要知道一点常识，就能很轻松地将苹果汁酿成苹果酒。\n\n使用苹果酿造的白兰地和苹果酒曾是全美最普遍的酒精饮料。现在，你可以利用随处可见的苹果制作<link=""cider"">苹果汁</link>并用于销售。可在<link=""conversion-apple-juice"">苹果榨汁机</link>中使用<link=""apples"">苹果</link>和<link=""half-barrel"">小桶</link>进行制作。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $8/小桶</b></indent>\n\n<i><indent=30>一位生活在纽黑文郡的绅士，科恩，最近收到通知，要求他对一处长势喜人的苹果果园进行砍伐，“因为苹果能被制成苹果汁，而苹果汁能被蒸馏成各种酒水，而喝多了就会喝醉。”</i></indent>\n<indent=40>—菲尼克斯·嘉泽特有关节制的报告，1829年7月10日</indent>"	"Apple juice easily converts to hard cider with just a bit of common knowhow.\n\nBrandy and hard cider made from apples were once the most common forms of alcoholic beverage in the US. Now you can use the ubiquity of the humble apple to craft <link=""cider"">cider</link> for sale. Can be made in a <link=""conversion-apple-juice"">Apple Press</link> with <link=""apples"">apples</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $8 per small barrel</b></indent>\n\n<i><indent=30>A gentleman in New Haven County, Conn. has recently ordered a fine apple orchard to to be cut down ""because the apples may be ground into cider, the cider may be distilled into a spiritous liquor and liquor, if drunken, will make a man drunk"".</i></indent>\n<indent=40>—Phenix Gazette report on Temperance, July 10, 1829</indent>"
info.neutral-alcohol.icon	"<sprite name=""res alcohol-btl"">"	"<sprite name=""res alcohol-btl"">"
info.neutral-alcohol.name	中性酒精	Neutral Alcohol
info.neutral-alcohol.desc	"酒精是不可饮用的，但能够用于其他商业和工业用途。\n\n禁酒法案明文规定，禁止生产用于食用的酒精，例如威士忌。但工业乙醇用途广泛，对于多种事物的生产都至关重要，无法完全禁止。于是法律规定，合法生产的酒精必须无法食用。但是，如果你将它制成私酒，情况就会发生改变。可使用<link=""corn-syrup"">玉米糖浆</link>和<link=""bottles"">瓶子</link>，在<link=""conversion-neutral-alcohol"">小型非法蒸馏厂</link>进行生产。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $14/箱</b></indent>\n\n<i><indent=30>非饮料用途的酒精……可以进行生产、购买、出售、交换、运输、进口、出口、运送、供应和拥有，但也仅限于此，专员会根据使用方式发布许可证。</i></indent>\n<indent=40>—禁酒法案，标题II，第3节</indent>"	"Alcohol made undrinkable, but suitable for commercial and industrial purposes.\n\nThe Volstead Act prohibited the production of alcohol intended for consumption, such as whiskey. But industrial ethanol was just too useful and necessary to so many things to ban. So the law required that legal alcohol be made unsuitable for consumption. However, that state is easily reversed if you want to turn it into moonshine. Can be made from <link=""corn-syrup"">corn syrup</link> and <link=""bottles"">bottles</link> at a <link=""conversion-neutral-alcohol"">Backroom Basic Distillery</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $14 per case</b></indent>\n\n<i><indent=30>Liquor for nonbeverage purposes ... may be manufactured, purchased, sold, bartered, transported, imported, exported, delivered, furnished and possessed, but only as herein provided and the commissioner may, upon application, issue permits therefor.</i></indent>\n<indent=40>—The Volstead Act, Title II, Sec 3</indent>"
info.crocks.icon	"<sprite name=""res jugs"">"	"<sprite name=""res jugs"">"
info.crocks.name	粗陶罐	Stoneware Crocks
info.crocks.desc	"一种用于酿造基础自酿私酒的普通容器。\n\n粗陶罐用途十分广泛。它们价格便宜、数量众多、易于运输。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $2/个</b></indent>\n\n<i><indent=30>我是一名理想主义者，我不知道自己要去哪，但我一直在路上。</i></indent>\n<indent=40>—卡尔·桑德堡</indent>"	"A basic, common container for making basic homemade booze.\n\nStoneware crocks were used for just about everything. They're cheap, voluminous and easily transported.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $2 each</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.small-bottles.icon	"<sprite name=""res small-bottles"">"	"<sprite name=""res small-bottles"">"
info.small-bottles.name	小瓶	Small Bottles
info.small-bottles.desc	"用于盛装烈酒的小酒瓶。\n\n这种小瓶用于盛装酒精饮料和其他液体。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $3/箱</b></indent>\n\n<i><indent=30>我是一名理想主义者，我不知道自己要去哪，但我一直在路上。</i></indent>\n<indent=40>—卡尔·桑德堡</indent>"	"Small liquor bottles for the more potent drinks.\n\nSmall bottles are for bottling some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.bottles.icon	"<sprite name=""res bottles"">"	"<sprite name=""res bottles"">"
info.bottles.name	瓶子	Bottles
info.bottles.desc	"常规大小的瓶子。\n\n用于酿造、运输、盛装几种酒精饮料和其他液体。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy"">$5/箱</b></indent>\n\n<i><indent=30>打鼓的打鼓，弹琴的弹琴，在蜿蜒的萨克斯风上啜泣。动起来，爵士音乐家们。</i></indent>\n<indent=40>—卡尔·桑德堡</indent>"	"Regular-sized bottles.\n\nBottles are for manufacture, transport and storage of some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per case</b></indent>\n\n<i><indent=30>Drum on your drums, batter on your banjos, sob on the long cool winding saxophones. Go to it, O jazzmen.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.sugar.icon	"<sprite name=""res sugar"">"	"<sprite name=""res sugar"">"
info.sugar.name	糖	Sugar
info.sugar.desc	"产自甘蔗。\n\n酵母的食物。糖能够促进酵母的生产，促进气泡的产生。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $6/箱</b></indent>\n\n<i><indent=30>世界的屠猪中心，工具制作者，小麦堆积者，铁路操控者和国家的货物装卸工，激情、魁梧、好斗，巨大肩膀之城。</i></indent>\n<indent=40>—卡尔·桑德堡</indent>"	"Saccharum officinarum\n\nYeast food. Sugar is useful for encouraging the production of yeast and getting things to fizz up.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.hops.icon	"<sprite name=""res hops"">"	"<sprite name=""res hops"">"
info.hops.name	啤酒花	Hops
info.hops.desc	"学名：Humulus lupulus。\n\n搭配酵母、大麦和水，就能酿造出啤酒。啤酒花能够为啤酒增加香气与口味，能够为你的自酿啤酒增加更多啤酒的味道。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $25/箱</b></indent>\n\n<i><indent=30>上帝保佑啤酒花与麦芽。</i></indent>\n<indent=40>—德国祝酒词</indent>"	"Humulus lupulus\n\nWith yeast, barley and water they make beer. Hops add the fragrance and flavor to beer and can be used to infuse your brew with more beer-ness.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $25 per crate</b></indent>\n\n<i><indent=30>Hopfen und Malz Gott erhalt's.</i></indent>\n<indent=40>—German toast</indent>"
info.spices.icon	"<sprite name=""res spices"">"	"<sprite name=""res spices"">"
info.spices.name	香料	Spices
info.spices.desc	"为各种私酒添加风味\n\n妥善使用香料能够生成各种味道，为时髦地下酒吧中的鸡尾酒和饮料增加特殊风味。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy"">$15/盒</b></indent>\n\n<i><indent=30><i>每一杯过量的酒都是魔鬼酿成的毒汁。</i></indent>\n<indent=40>—威廉·莎士比亚</indent>"	"To infuse flavor into different types of booze\n\nThe judicious use of spices can create many kinds of infusions that deliver the flavor and personality to cocktail and drinks at fancy speakeasies.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $15 per box</b></indent>\n\n<i><indent=30><i>Every inordinate cup is unbless'd, and the ingredient is a devil.</i></indent>\n<indent=40>—William Shakespeare</indent>"
info.labels.icon	"<sprite name=""res labels"">"	"<sprite name=""res labels"">"
info.labels.name	瓶装酒标签	Bottle Labels
info.labels.desc	"能够以假乱真，适用于多种瓶装酒的标签。\n\n这些贴在瓶子上的仿制标签能够令他们看起来与真品无异。如果你的私酒品质上乘，添加了这种标签后能够令它的品级再上一层楼。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $9/盒</b></indent>\n\n<i><indent=30><i>杯中美酒一饮而尽,千姿百态随之而来。</i></indent>\n<indent=40>—约翰·席勒</indent>"	"A convincing label for many bottles of booze.\n\nThese counterfeit labels go on bottles to make the appear to be the real things. If you're making good booze, may as well add a little class with these labels.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $9 per box</b></indent>\n\n<i><indent=30><i>When the wine goes in, strange things come out.</i></indent>\n<indent=40>—Johann Schiller</indent>"
info.barley.icon	"<sprite name=""res barley"">"	"<sprite name=""res barley"">"
info.barley.name	大麦	Barley
info.barley.desc	"学名：Hordeum vulgare。\n\n啤酒和麦芽糖浆的基础原料。大麦营养价值丰富，在一名技艺精湛的酿酒工人手上，它的用处变得更为繁多。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $9/盒</b></indent>\n\n<i><indent=30><i>根深蒂固的喜好无法被动摇，男人喜欢啤酒并非过错。</i></indent>\n<indent=40>—奥利弗·温德尔·霍姆斯</indent>"	"Hordeum vulgare\n\nThe basis for beer and malt syrup, barley has many nutritional uses and many more in the hands of a skilled brewer.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $9 per box</b></indent>\n\n<i><indent=30><i>Deep-seated preferences cannot be argued about — you cannot argue a man into liking a glass of beer.</i></indent>\n<indent=40>—Oliver Wendell Holmes</indent>"
info.half-barrel.icon	"<sprite name=""res half-barrel"">"	"<sprite name=""res half-barrel"">"
info.half-barrel.name	小桶	Small Barrels
