Key	Russian	English
info.fake-beer.desc	"Самопальное пиво с помощью хмеля можно превратить в куда более доходный продукт.\n\nДомашнее пиво — это наилучшая имитация того, что выпускали большие пивоварни до принятия сухого закона. Этот <link=""refined-booze"">очищенный напиток</link> делают на <link=""production-fake-beer"">производствах домашнего пива</link> путём смешивания <link=""hops"">хмеля</link> и <link=""home-brew"">самопального пива</link>. Затем напиток разливают в <link=""small-bottles"">маленькие бутылки</link> и поставляют жаждущим клиентам. При наличии соответствующих знаний и улучшений домашнее пиво можно изготовлять прямо из <link=""barley"">ячменя</link> и хмеля в <link=""production-fake-beer-upgraded"">подпольной пивоварне</link>.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui sell""> 25 $ за ящик</b></indent>\n\n<i><indent=30>«Кто пьёт пиво, быстро засыпает. Пока он спит, он не грешит. Кто не грешит, тому в рай. Поэтому давайте пить пиво!»</indent></i>\n<indent=40>(Мартин Лютер)</indent>"	"Homemade beer meets hops to create a more profitable quaff.\n\nBackroom Beer is a better quality facsimile of what the big breweries were making before Prohibition began. This <link=""refined-booze"">refined booze</link> is made at a <link=""production-fake-beer"">Backroom Beer Operation</link> by combining <link=""hops"">hops</link> with <link=""home-brew"">homemade beer</link> and then packaging that up in <link=""small-bottles"">small bottles</link> to ship out to thirsty customers. With the proper knowledge and upgrades, it can also be made directly from <link=""barley"">barley</link> and hops in a <link=""production-fake-beer-upgraded"">Backroom Brewery</link>.\n\n<indent=15><b>Base Pricing\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Whoever drinks beer, he is quick to sleep; whoever sleeps long, does not sin; whoever does not sin, enters Heaven! Thus, let us drink beer!</indent></i>\n<indent=40>—Martin Luther</indent>"
info.fake-wine.icon	"<sprite name=""res fake-wine"">"	"<sprite name=""res fake-wine"">"
info.fake-wine.name	Контрафактное вино	Counterfeit Wine
info.fake-wine.desc	"Принарядившееся (и поэтому подорожавшее) вино из брикетов.\n\nНа <link=""production-fake-wine"">подпольном производстве</link> вы разливаете <link=""brick-wine"">вино из брикетов</link> по <link=""bottles"">бутылкам</link>, наклеиваете <link=""labels"">этикетки</link> — и продаёте этот <link=""refined-booze"">очищенный напиток</link> под каким-нибудь модным французским названием. Ваши клиенты могут подозревать, что это подделка, но всё равно заплатят, никуда не денутся. При наличии нужных навыков и материалов такое вино можно делать сразу из <link=""grapes"">винограда</link> на <link=""production-fake-wine-upgraded"">подпольной винодельне</link>. А вино из брикетов — продавать кому-нибудь.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui sell""> 28 $ за ящик</b></indent>\n\n<i><indent=30>«Так как смерть всё равно мне пощады не даст — пусть мне чашу вина виночерпий подаст!»</i></indent>\n<indent=40>(Хайям)</indent>"	"This is a gussied-up (and more lucrative) brick wine.\n\nAt a <link=""production-fake-wine"">Backroom Wine Operation</link>, transfer your <link=""brick-wine"">brick wine</link> from its crocks into some <link=""bottles"">bottles</link>, slap a <link=""labels"">label</link> on them sell this <link=""refined-booze"">refined booze</link> as something with a fancy French name. Your customers may know it's fake, but they'll pay just the same. With the right skills and materials, you can also make it directly from <link=""grapes"">grapes</link> at a <link=""production-fake-wine-upgraded"">Backroom Winery</link>. And sell the brick wine elsewhere.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $28 per case</b></indent>\n\n<i><indent=30>Either give me more wine or leave me alone.</i></indent>\n<indent=40>—Rumi</indent>"
info.sparkling-cider.icon	"<sprite name=""res sparkling-cider"">"	"<sprite name=""res sparkling-cider"">"
info.sparkling-cider.name	Шипучий сидр	Sparkling Cider
info.sparkling-cider.desc	"Добавьте сахара в сидр, чтобы он давал больше пены и прибыли.\n\nШипучий сидр — это <link=""refined-booze"">очищенный напиток</link>, который получается при добавлении <link=""sugar"">сахара</link> в обычный <link=""cider"">сидр</link> на <link=""production-sparkling-cider"">производстве</link>. Его разливают в <link=""small-bottles"">маленькие бутылки</link> и выдерживают, пока не выделится достаточное количество углекислого газа. Но не слишком много, чтобы бутылки не взорвались. При наличии нужной технологии вы можете улучшить своё производство и делать шипучий сидр прямо из <link=""apples"">яблок</link> в <link=""production-sparkling-cider-upgraded"">бродильном аппарате для шипучего сидра</link>.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui sell""> 25 $ за ящик</b></indent>\n\n<i><indent=30>«Дайте мне вчерашний хлеб, сегодняшнее мясо и прошлогодний сидр».</i></indent>\n<indent=40>(Бенджамин Франклин)</indent>"	"Use sugar to put extra profit and fizz into your hard cider.\n\nSparkling cider is a <link=""refined-booze"">refined booze</link> that is the result of adding some <link=""sugar"">sugar</link> to regular <link=""cider"">hard cider</link> at a <link=""production-sparkling-cider"">Sparkling Cider Operation</link>, putting it in <link=""small-bottles"">small bottles</link>, then waiting and hoping that enough carbon dioxide gets created to make your cider fizz. But not too much that makes them explode. With the right knowhow, you can upgrade to make sparkling cider directly from <link=""apples"">apples</link> at a <link=""production-sparkling-cider-upgraded"">Sparkling Cider Fermenter</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $25 per case</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.bathtub-gin.icon	"<sprite name=""res bathtub-gin"">"	"<sprite name=""res bathtub-gin"">"
info.bathtub-gin.name	Домашний джин	Bathtub Gin
info.bathtub-gin.desc	"Специи превратят вашу самогонку в напиток, достойный коктейлей.\n\nНа <link=""production-bathtub-gin"">производствах</link> этот <link=""refined-booze"">очищенный напиток</link> делают так: в чаны с <link=""moonshine"">самогоном</link> добавляют <link=""spices"">специи</link>, разливают в <link=""small-bottles"">маленькие бутылки</link> и развозят по всем подпольным барам города. Набив руку, этот напиток можно готовить прямо из <link=""corn-syrup"">кукурузной патоки</link> в <link=""production-bathtub-gin-upgraded"">дистилляторе для домашнего джина</link>, а самогон использовать для других целей.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui sell""> 24 $ за ящик</b></indent>\n\n<i><indent=30>«Я не злоупотребляю спиртным. Ничего крепче джина перед завтраком не пью».</i></indent>\n<indent=40>(У. К. Филдс, американский комик)</indent>"	"Spices will turn your moonshine into something worthy of a cocktail.\n\nAt a <link=""production-bathtub-gin"">Bathtub Ginworks</link>, this <link=""refined-booze"">refined booze</link> is made when crocks of <link=""moonshine"">moonshine</link> are concocted with some <link=""spices"">spices</link>, put into <link=""small-bottles"">small bottles</link> and moved to speakeasies all over town. With some extra skills under your belt, you can also learn how to make it directly from <link=""corn-syrup"">corn syrup</link> at a <link=""production-bathtub-gin-upgraded"">Bathtub Gin Still</link> and put that moonshine to other uses.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $24 per case</b></indent>\n\n<i><indent=30>I exercise strong self control. I never drink anything stronger than gin before breakfast.</i></indent>\n<indent=40>—W.C. Fields</indent>"
info.moonshine.icon	"<sprite name=""res moonshine"">"	"<sprite name=""res moonshine"">"
info.moonshine.name	Самогон	Moonshine
info.moonshine.desc	"Крепкий напиток. Готовится в чанах из денатурированного (нейтрального) спирта или из кукурузы.\n\nСухой закон разбудил в народе творческие способности. <link=""moonshine"">Самогон</link> — <link=""homemade-booze"">самопальная выпивка</link>, которую делают на <link=""homebooze-moonshine"">подпольных производствах</link> путём отгонки неприятно пахнущих (и ядовитых) присадок из <link=""neutral-alcohol"">нейтрального спирта</link>. Слегка очищенный готовый продукт продаётся целыми <link=""crocks"">чанами</link>.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui sell""> 20 $ за чан</b></indent>\n\n<i><indent=30>«Сухой закон лишь загоняет пьянство в подполье, во тьму, но не искореняет и даже не ослабляет его».</i></indent>\n<indent=40>(Марк Твен)</indent>"	"Made from neutral alcohol in crocks or from corn, a potent libation.\n\nProhibition has forced everyone into being creative with spirits. <link=""moonshine"">Moonshine</link> is <link=""homemade-booze"">homemade booze</link> made at a <link=""homebooze-moonshine"">Backroom Moonshine Operation</link> by evaporating off the unpleasant (and poisonous) additives in <link=""neutral-alcohol"">neutral alcohol</link> and then selling the slightly refined product by the <link=""crocks"">crock</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $20 per crock</b></indent>\n\n<i><indent=30>Prohibition only drives drunkenness behind doors and into dark places, and does not cure it or even diminish it.</i></indent>\n<indent=40>—Mark Twain</indent>"
info.brick-wine.icon	"<sprite name=""res brick-wine"">"	"<sprite name=""res brick-wine"">"
info.brick-wine.name	Вино из брикетов	Brick Wine
info.brick-wine.desc	"Калифорнийский виноградный концентрат в бродильных чанах превращается в вино из брикетов.\n\nВиноградари из Калифорнии наводнили всю страну стандартными брикетами обезвоженного <link=""grape-juice"">виноградного концентрата</link> с очень точными инструкциями, чего с ними не надо делать, дабы они не забродили. Это же будет незаконно. Просто положите брикеты в <link=""crocks"">керамические чаны</link> на <link=""homebooze-brick-wine"">производстве</link>, добавьте воды, и торгуйте полученной <link=""homemade-booze"">самопальной выпивкой</link>.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui sell""> 15 $ за чан</b></indent>\n\n<i><indent=30>«Вино — самый здоровый и гигиеничный из напитков».</i></indent>\n<indent=40>(Луи Пастер)</indent>"	"Bricks of grape concentrate from California turned into crocks of brick Wine.\n\nVineyard owners in California started flooding the rest of the country with uniformly shaped bricks of dehydrated <link=""grape-juice"">grape concentrate</link> and some very specific instructions of what to do to prevent fermentation. That would be illegal. Just put it in <link=""crocks"">stoneware crocks</link> at a <link=""homebooze-brick-wine"">Backroom Brick Wine Operation</link> and mix with water and you're good to go sell the resulting <link=""homemade-booze"">homemade booze</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $15 per crock</b></indent>\n\n<i><indent=30>Wine is the most healthful and most hygienic of beverages.</i></indent>\n<indent=40>—Louis Pasteur</indent>"
info.cider.icon	"<sprite name=""res cider"">"	"<sprite name=""res cider"">"
info.cider.name	Сидр	Hard Cider
info.cider.desc	"Обычный яблочный сок в керамических бродильных чанах вскоре превращается в сидр.\n\nСидр — это разновидность <link=""homemade-booze"">самопальной выпивки</link> с богатой историей в США. Во время сухого закона многим пришлось вспомнить полузабытые семейные рецепты изготовления сидра. На <link=""homebooze-cider"">подпольном производстве сидра</link> возьмите <link=""apple-juice"">яблочный сок</link>, налейте его в <link=""crocks"">керамические чаны</link> и дождитесь, пока перебродит.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui sell""> 12 $ за чан</b></indent>\n\n<i><indent=30>«Дайте мне вчерашний хлеб, сегодняшнее мясо и прошлогодний сидр».</i></indent>\n<indent=40>(Бенджамин Франклин)</indent>"	"Simple apple juice left in stoneware crocks will soon turn into hard cider.\n\nCider—and specifically hard, alcoholic cider—has is a type of <link=""homemade-booze"">homemade booze</link> with a long history in the US. During Prohibition, lots of family recipes and dimly remembered recipes for hard cider reemerged. At a <link=""homebooze-cider"">Backroom Cider Operation</link>, take <link=""apple-juice"">apple juice</link>, mix into <link=""crocks"">stoneware crocks</link> and await the magic of fermentation.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $12 per crock</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.home-brew.icon	"<sprite name=""res home-brew"">"	"<sprite name=""res home-brew"">"
info.home-brew.name	Самопальное пиво	Homemade Beer
info.home-brew.desc	"Мальтозная патока, которая сейчас массово выпускается пивоварнями, легко превращается в самопальное пиво.\n\nВ 1920 году все пивоварни в США остались без работы. Некоторые из них перешли на выпуск <link=""malt"">мальтозной патоки</link>. На упаковках были напечатаны подробные инструкции, чего ни в коем случае не нужно делать, чтобы избежать превращения патоки в пиво. В <link=""homebooze-home-brew"">подпольных пивоварнях</link> с помощью <link=""crocks"">керамических чанов</link> мальтозную патоку превращают в самопальное пиво.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui sell""> 8 $ за чан</b></indent>\n\n<i><indent=30>«Kde se pivo vaří, tam se dobře daří».</i></indent>\n<indent=40>(Чешская поговорка)</indent>"	"Malt syrup churned out by now dry breweries easily converts to homemade beer.\n\nWhen 1920 made the breweries all over the US suddenly obsolete, some began making <link=""malt"">malt syrup</link>. And they included careful instructions to help the general public avoid its unfortunate tendency to ferment into, well, beer. <link=""homebooze-home-brew"">Backroom Home Brew Operations</link> make use of <link=""crocks"">stoneware crocks</link> and malt syrup to produce large amounts of homemade beer.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $8 per crock</b></indent>\n\n<i><indent=30>Kde se pivo vaří, tam se dobře daří.</i></indent>\n<indent=40>—Czech proverb</indent>"
info.grape-juice.icon	"<sprite name=""res grape-juice"">"	"<sprite name=""res grape-juice"">"
info.grape-juice.name	Виноградный концентрат	Grape Concentrate
info.grape-juice.desc	"Изготавливается из винограда и ни в коем случае не предназначен для брожения.\n\nВиноградарям в 1920 году пришлось принимать трудные решения. Кто-то перешёл на другие культуры. Кто-то вообще ушёл из сельского хозяйства. А кое-кто, наоборот, процветал. Эти фермеры просто превращали свой урожай в удобные прессованные брикеты. К некоторым даже прилагались добавки со вкусом портвейна или хереса. Изготовляется с помощью <link=""conversion-grape-juice"">виноградного пресса</link> из <link=""grapes"">винограда</link>, хранится в <link=""half-barrel"">бочонках</link>.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 12 $ за бочонок</b></indent>\n\n<i><indent=30>«Растворить один брикет в галлоне воды для получения одного галлона безалкогольного сока. Во избежание брожения добавить 1–10% бензоата натрия».</i></indent>\n<indent=40>(Из инструкции на виноградных брикетах Vino Sano, Калифорния)</indent>"	"Made from grapes and never to be left to ferment.\n\nVineyard owners faced some tough decisions in 1920. Some planted other things. Some went out of business entirely. But some kept growing. They just converted their harvests into concentrated bricks for easy shipment. Some included flavor packets for things like port or sherry. Can be made at a <link=""conversion-grape-juice"">Grape Press</link> from <link=""grapes"">grapes</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $12 per small barrel</b></indent>\n\n<i><indent=30>Each brick dissolved in gallon of water produces gallon of unfermented, non-alcoholic punch juice. To prevent fermentation add 1-10% benzoate of soda.</i></indent>\n<indent=40>—Directions on Vino Sano California Grape Bricks</indent>"
info.malt.icon	"<sprite name=""res malt"">"	"<sprite name=""res malt"">"
info.malt.name	Мальтозная патока	Malt Syrup
info.malt.desc	"Густой сироп, изготовленный из солода (проросшего ячменя), быстро сбраживается.\n\nВ 1920 году пивоварни оказались в тяжелейшем положении. В условиях запрета на производство пива некоторые из них перешли на изготовление мороженого или газировки. А кое-кто дал старт новой эпохе здорового питания, когда американцы массово открыли для себя полезные свойства мальтозной патоки, из которой, конечно же, <i>никогда</i> не делали ничего похожего на пиво. Производится в <link=""conversion-malt"">солодовом цехе</link> из <link=""barley"">ячменя</link>.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 5 $ за бочонок</b></indent>\n\n<i><indent=30>«Порой наш мозг требует столько энергии, что жизненных сил тела едва хватает на переваривание пищи, и еда уже не помогает нам восстановиться. Если не принять мер, то семена слабости расцветут целым букетом болезней. Медлить нельзя! Солодовый экстракт Pabst — лучшее тонизирующее средство».</i></indent>\n<indent=40>(Реклама солодового тоника Pabst)</indent>"	"Thick syrup made from sprouted barley that tends to ferment.\n\nBreweries faced a mortal crisis in 1920. Forbidden to make beer, some turned to making ice cream or soda. Some, however, kindled a new health kick, particular to the era when Americans discovered the unique health benefits of drinking malt syrup — which they <i>never</i> left to ferment into a beer-like beverage. Can be made at a <link=""conversion-malt"">Malt Processor</link> from <link=""barley"">barley</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per small barrel</b></indent>\n\n<i><indent=30>There are times when the brain draws so upon our vitality that we cannot digest our food, we gain no strength from what we eat. If we let this go on, we sow the seeds of weakness which will blossom in disease. Act at once! Pabst Malt Extract - the ""Best"" Tonic.</i></indent>\n<indent=40>—Pabst Malt Tonic Advertisement</indent>"
info.apple-juice.icon	"<sprite name=""res apple-juice"">"	"<sprite name=""res apple-juice"">"
info.apple-juice.name	Яблочный сок	Apple Juice
info.apple-juice.desc	"С помощью простейшей технологии яблочный сок легко превращается в сидр.\n\nБренди и яблочный сидр раньше были самыми популярными алкогольными напитками в США. Яблоки растут везде, и вы можете делать из них <link=""cider"">сидр</link> на продажу. Сидр изготавливается на <link=""conversion-apple-juice"">прессе для фруктов</link> из <link=""apples"">яблок</link> и разливается в <link=""half-barrel"">бочонки</link>.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 8 $ за бочонок</b></indent>\n\n<i><indent=30>«Некий джентльмен из округа Нью-Хейвен (Коннектикут) недавно приказал вырубить целый яблоневый сад, ибо ""из яблок можно делать сидр, из сидра можно гнать крепкие напитки, а они при употреблении внутрь опьяняют человека""».</i></indent>\n<indent=40>(«О трезвости» — Финикс Газетт, 10 июля 1829 г.)</indent>"	"Apple juice easily converts to hard cider with just a bit of common knowhow.\n\nBrandy and hard cider made from apples were once the most common forms of alcoholic beverage in the US. Now you can use the ubiquity of the humble apple to craft <link=""cider"">cider</link> for sale. Can be made in a <link=""conversion-apple-juice"">Apple Press</link> with <link=""apples"">apples</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $8 per small barrel</b></indent>\n\n<i><indent=30>A gentleman in New Haven County, Conn. has recently ordered a fine apple orchard to to be cut down ""because the apples may be ground into cider, the cider may be distilled into a spiritous liquor and liquor, if drunken, will make a man drunk"".</i></indent>\n<indent=40>—Phenix Gazette report on Temperance, July 10, 1829</indent>"
info.neutral-alcohol.icon	"<sprite name=""res alcohol-btl"">"	"<sprite name=""res alcohol-btl"">"
info.neutral-alcohol.name	Нейтральный спирт	Neutral Alcohol
info.neutral-alcohol.desc	"Непищевой спирт, предназначенный для технических и хозяйственных целей.\n\nАкт Вольстеда запретил производить спиртные напитки для употребления в пищу — как, например, виски. Но технический спирт был необходим для промышленности, и запретить его было невозможно. Поэтому законом было предписано производить для промышленных целей спирт, непригодный для употребления. Но это обратимый процесс — такой спирт легко превращается в самогон. Он изготавливается из <link=""corn-syrup"">кукурузной патоки</link> и разливается в <link=""bottles"">бутылки</link> в <link=""conversion-neutral-alcohol"">простом подпольном перегонном цеху</link>.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 14 $ за ящик</b></indent>\n\n<i><indent=30>«Спирт непищевого назначения… разрешается производить, приобретать, продавать, обменивать, перевозить, импортировать, экспортировать, поставлять, снабжать и владеть им, но лишь на указанных здесь условиях и при наличии разрешения, выданного инспектором на основании заявления».</i></indent>\n<indent=40>(Акт Вольстеда, ч. II, разд. 3)</indent>"	"Alcohol made undrinkable, but suitable for commercial and industrial purposes.\n\nThe Volstead Act prohibited the production of alcohol intended for consumption, such as whiskey. But industrial ethanol was just too useful and necessary to so many things to ban. So the law required that legal alcohol be made unsuitable for consumption. However, that state is easily reversed if you want to turn it into moonshine. Can be made from <link=""corn-syrup"">corn syrup</link> and <link=""bottles"">bottles</link> at a <link=""conversion-neutral-alcohol"">Backroom Basic Distillery</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $14 per case</b></indent>\n\n<i><indent=30>Liquor for nonbeverage purposes ... may be manufactured, purchased, sold, bartered, transported, imported, exported, delivered, furnished and possessed, but only as herein provided and the commissioner may, upon application, issue permits therefor.</i></indent>\n<indent=40>—The Volstead Act, Title II, Sec 3</indent>"
info.crocks.icon	"<sprite name=""res jugs"">"	"<sprite name=""res jugs"">"
info.crocks.name	Керамические чаны	Stoneware Crocks
info.crocks.desc	"Самая простая и распространённая ёмкость для изготовления самопальной выпивки.\n\nВ таких чанах делали практически всё что угодно. Они недороги, объёмны и легки в перевозке.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 2 $ за шт.</b></indent>\n\n<i><indent=30>«I'm an idealist. I don't know where I'm going, but I'm on my way».</i></indent>\n<indent=40>(Карл Сэндберг)</indent>"	"A basic, common container for making basic homemade booze.\n\nStoneware crocks were used for just about everything. They're cheap, voluminous and easily transported.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $2 each</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.small-bottles.icon	"<sprite name=""res small-bottles"">"	"<sprite name=""res small-bottles"">"
info.small-bottles.name	Маленькие бутылки	Small Bottles
info.small-bottles.desc	"Бутылки небольшой ёмкости для крепких напитков.\n\nВ маленькие бутылки разливают некоторые спиртные напитки и другие жидкости.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 3 $ за ящик</b></indent>\n\n<i><indent=30>«I'm an idealist. I don't know where I'm going, but I'm on my way».</i></indent>\n<indent=40>(Карл Сэндберг)</indent>"	"Small liquor bottles for the more potent drinks.\n\nSmall bottles are for bottling some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.bottles.icon	"<sprite name=""res bottles"">"	"<sprite name=""res bottles"">"
info.bottles.name	Бутылки	Bottles
info.bottles.desc	"Бутылки стандартного размера.\n\nБутылки используются в производстве, транспортировке и хранении некоторых спиртных напитков и других жидкостей.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 5 $ за ящик</b></indent>\n\n<i><indent=30>«Drum on your drums, batter on your banjos, sob on the long cool winding saxophones. Go to it, O jazzmen».</i></indent>\n<indent=40>(Карл Сэндберг)</indent>"	"Regular-sized bottles.\n\nBottles are for manufacture, transport and storage of some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per case</b></indent>\n\n<i><indent=30>Drum on your drums, batter on your banjos, sob on the long cool winding saxophones. Go to it, O jazzmen.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.sugar.icon	"<sprite name=""res sugar"">"	"<sprite name=""res sugar"">"
info.sugar.name	Сахар	Sugar
info.sugar.desc	"Saccharum officinarum (сахарный тростник)\n\nПища для дрожжевых грибков. Сахар стимулирует деятельность дрожжей, превращаясь в спирт и шипящую пену.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 6 $ за ящик</b></indent>\n\n<i><indent=30>«Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler; Stormy, husky, brawling, City of the Big Shoulders».</i></indent>\n<indent=40>(Карл Сэндберг)</indent>"	"Saccharum officinarum\n\nYeast food. Sugar is useful for encouraging the production of yeast and getting things to fizz up.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.hops.icon	"<sprite name=""res hops"">"	"<sprite name=""res hops"">"
info.hops.name	Хмель	Hops
info.hops.desc	"Humulus lupulus\n\nВ смеси с дрожжами, ячменём и водой превращается в пиво. Хмель придаёт пиву специфический вкус и аромат. Вы можете использовать его, чтобы сделать своё варево более «пивным».\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 25 $ за коробку</b></indent>\n\n<i><indent=30>«Hopfen und Malz Gott erhalt's».</i></indent>\n<indent=40>(Немецкий тост)</indent>"	"Humulus lupulus\n\nWith yeast, barley and water they make beer. Hops add the fragrance and flavor to beer and can be used to infuse your brew with more beer-ness.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $25 per crate</b></indent>\n\n<i><indent=30>Hopfen und Malz Gott erhalt's.</i></indent>\n<indent=40>—German toast</indent>"
info.spices.icon	"<sprite name=""res spices"">"	"<sprite name=""res spices"">"
info.spices.name	Специи	Spices
info.spices.desc	"Придают вкус выпивке.\n\nПри умеренном использовании специи позволяют создавать самые разные настойки, придающие аромат и характер коктейлям и напиткам в модных подпольных барах.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 15 $ за коробку</b></indent>\n\n<i><indent=30><i>«Every inordinate cup is unbless'd, and the ingredient is a devil».</i></indent>\n<indent=40>(Уильям Шекспир)</indent>"	"To infuse flavor into different types of booze\n\nThe judicious use of spices can create many kinds of infusions that deliver the flavor and personality to cocktail and drinks at fancy speakeasies.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $15 per box</b></indent>\n\n<i><indent=30><i>Every inordinate cup is unbless'd, and the ingredient is a devil.</i></indent>\n<indent=40>—William Shakespeare</indent>"
info.labels.icon	"<sprite name=""res labels"">"	"<sprite name=""res labels"">"
info.labels.name	Бутылочные этикетки	Bottle Labels
info.labels.desc	"Наклейки на бутылки с выпивкой.\n\nЭти поддельные этикетки придают бутылкам внушительный вид. Если вы делаете хорошую выпивку, то пусть она и выглядит солидно.\n\n<indent=15><b>Базовая цена:\n<sprite name=""ui buy""> 9 $ за коробку</b></indent>\n\n<i><indent=30><i>«В нём говорит вино… Я вас прошу, не слушайте!»</i></indent>\n<indent=40>(Фридрих Шиллер)</indent>"	"A convincing label for many bottles of booze.\n\nThese counterfeit labels go on bottles to make the appear to be the real things. If you're making good booze, may as well add a little class with these labels.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $9 per box</b></indent>\n\n<i><indent=30><i>When the wine goes in, strange things come out.</i></indent>\n<indent=40>—Johann Schiller</indent>"
