Key	French	English
info.cider.desc	"Du simple jus de pomme laissé dans des pots en grès ne tardera pas à se transformer en cidre.\n\nLe cidre, et en particulier le cidre fortement alcoolisé, est un type d’<link=""homemade-booze"">alcool artisanal</link> jouissant d’une longue histoire aux États-Unis. Durant la prohibition, de nombreuses recettes de cidre, certaines de famille, d’autres à moitié oubliées, ont fait leur réapparition. Dans une <link=""homebooze-cider"">fabrique de cidre d’arrière-boutique</link>, versez du <link=""apple-juice"">jus de pomme</link> dans des <link=""crocks"">pots en grès</link> et attendez que la magie de la fermentation opère.\n\n<indent=15><b>Prix de base\n<sprite name=""ui sell""> 12 $ le pot</b></indent>\n\n<i><indent=30>Donnez-moi le pain de la veille, la chair d’aujourd’hui et le cidre de l’année dernière.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"	"Simple apple juice left in stoneware crocks will soon turn into hard cider.\n\nCider—and specifically hard, alcoholic cider—has is a type of <link=""homemade-booze"">homemade booze</link> with a long history in the US. During Prohibition, lots of family recipes and dimly remembered recipes for hard cider reemerged. At a <link=""homebooze-cider"">Backroom Cider Operation</link>, take <link=""apple-juice"">apple juice</link>, mix into <link=""crocks"">stoneware crocks</link> and await the magic of fermentation.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $12 per crock</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.home-brew.icon	"<sprite name=""res home-brew"">"	"<sprite name=""res home-brew"">"
info.home-brew.name	Bière artisanale	Homemade Beer
info.home-brew.desc	"Le sirop de malt, débité à tout va par des brasseries de nos jours à sec, peut aisément être transformé en bière artisanale.\n\nLorsque 1920 a sonné le glas pour les brasseries des États-Unis tout entiers, certains se sont mis à produire du <link=""malt"">sirop de malt</link>... et ont rédigé des instructions détaillées pour que les bonnes gens contrent sa fâcheuse tendance à fermenter en, comment dire, bière. Les <link=""homebooze-home-brew"">fabriques de bière artisanale d’arrière-boutique</link> ont recours à des <link=""crocks"">pots en grès</link> et du sirop de malt afin de produire de grandes quantités de bière artisanale.\n\n<indent=15><b>Prix de base\n<sprite name=""ui sell""> 8 $ le pot</b></indent>\n\n<i><indent=30>Kde se pivo vaří, tam se dobře daří.</i></indent>\n<indent=40>—Proverbe tchèque</indent>"	"Malt syrup churned out by now dry breweries easily converts to homemade beer.\n\nWhen 1920 made the breweries all over the US suddenly obsolete, some began making <link=""malt"">malt syrup</link>. And they included careful instructions to help the general public avoid its unfortunate tendency to ferment into, well, beer. <link=""homebooze-home-brew"">Backroom Home Brew Operations</link> make use of <link=""crocks"">stoneware crocks</link> and malt syrup to produce large amounts of homemade beer.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $8 per crock</b></indent>\n\n<i><indent=30>Kde se pivo vaří, tam se dobře daří.</i></indent>\n<indent=40>—Czech proverb</indent>"
info.grape-juice.icon	"<sprite name=""res grape-juice"">"	"<sprite name=""res grape-juice"">"
info.grape-juice.name	Concentré de raisin	Grape Concentrate
info.grape-juice.desc	"Réalisé à partir de raisin et à ne laisser fermenter sous aucun prétexte.\n\n1920 a forcé les viticulteurs à prendre des décisions difficiles. Certains ont changé de culture. D’autres ont tout bonnement changé de métier. Mais certains ont continué à prospérer. Ces derniers ont simplement mis leurs récoltes dans des briques de concentré pour en faciliter la distribution. Des sachets aromatisés étaient parfois inclus, comme pour le porto ou le sherry. Peut être fabriqué grâce à un <link=""conversion-grape-juice"">pressoir à raisin</link> en utilisant du <link=""grapes"">raisin</link> et de <link=""half-barrel"">petits tonneaux</link>.\n\n<indent=15><b>Prix de base\n<sprite name=""ui buy""> 12 $ le petit tonneau</b></indent>\n\n<i><indent=30>Chaque brique dissoute dans un gallon d’eau produit un gallon de jus de punch non fermenté et non alcoolique. Pour empêcher la fermentation, ajouter 1-10 % de benzoate de sodium.</i></indent>\n<indent=40>—Instructions figurant sur les briques de jus de raisin californien de Vino Sano</indent>"	"Made from grapes and never to be left to ferment.\n\nVineyard owners faced some tough decisions in 1920. Some planted other things. Some went out of business entirely. But some kept growing. They just converted their harvests into concentrated bricks for easy shipment. Some included flavor packets for things like port or sherry. Can be made at a <link=""conversion-grape-juice"">Grape Press</link> from <link=""grapes"">grapes</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $12 per small barrel</b></indent>\n\n<i><indent=30>Each brick dissolved in gallon of water produces gallon of unfermented, non-alcoholic punch juice. To prevent fermentation add 1-10% benzoate of soda.</i></indent>\n<indent=40>—Directions on Vino Sano California Grape Bricks</indent>"
info.malt.icon	"<sprite name=""res malt"">"	"<sprite name=""res malt"">"
info.malt.name	Sirop de malt	Malt Syrup
info.malt.desc	"Réalisé à partir d’orge germée, ce sirop épais a tendance à fermenter.\n\nEn 1920, les brasseries ont dû faire face à une crise sans précédent. N’ayant plus le droit de fabriquer de la bière, certains se sont rabattus sur la vente de crèmes glacées ou de soda. D’autres, toutefois, se sont laissés séduire par une nouvelle tendance saine, spécifique à l’époque durant laquelle les Américains ont découvert les bienfaits propres à la consommation de sirop de malt. Évidemment, ils ne laissaient <i>jamais</i> ce dernier fermenter en une boisson semblable à de la bière. Peut être réalisé à l’aide d’une <link=""conversion-malt"">malterie</link> à partir d’<link=""barley"">orge</link>.\n\n<indent=15><b>Prix de base\n<sprite name=""ui buy""> 5 $ le petit tonneau</b></indent>\n\n<i><indent=30>Il y a des moments où notre cerveau sollicite notre vitalité à un point tel que nous ne parvenons pas à digérer nos aliments, et ne tirons aucune force de la nourriture que nous consommons. Si nous n’inversons pas cette tendance, nous ne faisons que semer les graines de la faiblesse, lesquelles ne tarderont pas à germer en maladie. N’attendez pas : réagissez ! Extrait de malt Pabst - le « meilleur » tonic qui soit.</i></indent>\n<indent=40>—Publicité pour le tonic au malt Pabst</indent>"	"Thick syrup made from sprouted barley that tends to ferment.\n\nBreweries faced a mortal crisis in 1920. Forbidden to make beer, some turned to making ice cream or soda. Some, however, kindled a new health kick, particular to the era when Americans discovered the unique health benefits of drinking malt syrup — which they <i>never</i> left to ferment into a beer-like beverage. Can be made at a <link=""conversion-malt"">Malt Processor</link> from <link=""barley"">barley</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per small barrel</b></indent>\n\n<i><indent=30>There are times when the brain draws so upon our vitality that we cannot digest our food, we gain no strength from what we eat. If we let this go on, we sow the seeds of weakness which will blossom in disease. Act at once! Pabst Malt Extract - the ""Best"" Tonic.</i></indent>\n<indent=40>—Pabst Malt Tonic Advertisement</indent>"
info.apple-juice.icon	"<sprite name=""res apple-juice"">"	"<sprite name=""res apple-juice"">"
info.apple-juice.name	Jus de pomme	Apple Juice
info.apple-juice.desc	"Avec un brin de savoir-faire, le jus de pomme peut facilement être transformé en cidre.\n\nLe brandy et le cidre réalisés à partir de pommes étaient jadis les boissons alcoolisées les plus répandues aux États-Unis. Désormais, vous pouvez profiter de l’omniprésence de l’humble pomme pour fabriquer du<link=""cider"">cidre</link> destiné à la vente. Peut être réalisé à l’aide d’un <link=""conversion-apple-juice"">pressoir à pommes</link> en utilisant des <link=""apples"">pommes</link> et de <link=""half-barrel"">petits tonneaux</link>.\n\n<indent=15><b>Prix de base\n<sprite name=""ui buy""> 8 $ le petit tonneau</b></indent>\n\n<i><indent=30>Un gentleman venu du comté de New Haven, dans le Connecticut, a récemment demandé à ce que l’on abatte de forts beaux pommiers « car les pommes peuvent être réduites en cidre, le cidre peut être distillé en spiritueux et le spiritueux rendra un homme ivre s’il est bu ».</i></indent>\n<indent=40>—Rapport de la Phenix Gazette sur la tempérance, daté du 10 juillet 1829</indent>"	"Apple juice easily converts to hard cider with just a bit of common knowhow.\n\nBrandy and hard cider made from apples were once the most common forms of alcoholic beverage in the US. Now you can use the ubiquity of the humble apple to craft <link=""cider"">cider</link> for sale. Can be made in a <link=""conversion-apple-juice"">Apple Press</link> with <link=""apples"">apples</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $8 per small barrel</b></indent>\n\n<i><indent=30>A gentleman in New Haven County, Conn. has recently ordered a fine apple orchard to to be cut down ""because the apples may be ground into cider, the cider may be distilled into a spiritous liquor and liquor, if drunken, will make a man drunk"".</i></indent>\n<indent=40>—Phenix Gazette report on Temperance, July 10, 1829</indent>"
info.neutral-alcohol.icon	"<sprite name=""res alcohol-btl"">"	"<sprite name=""res alcohol-btl"">"
info.neutral-alcohol.name	Alcool neutre	Neutral Alcohol
info.neutral-alcohol.desc	"Une forme d’alcool rendue imbuvable, mais adaptée à des fins commerciales et industrielles.\n\nLe Volstead Act a interdit la production d’alcool se destinant à la consommation, tel que le whiskey, mais l’éthanol industriel était tout simplement trop utile et nécessaire pour qu’on l’interdise. Pour cette raison, la Loi a exigé que l’alcool licite soit rendu impropre à la consommation. Peut être réalisé grâce à du <link=""corn-syrup"">sirop de maïs</link> et des <link=""bottles"">bouteilles</link> dans une <link=""conversion-neutral-alcohol"">distillerie basique d’arrière-boutique</link>.\n\n<indent=15><b>Prix de base\n<sprite name=""ui buy""> 14 $ la caisse</b></indent>\n\n<i><indent=30>Les liqueurs se destinant à des fins autres que la consommation... peuvent être fabriquées, achetées, vendues, négociées, transportées, importées, exportées, distribuées, procurées et possédées, mais uniquement tel que prévu aux présentes, et le commissaire peut, sur demande, octroyer des permis en conséquence.</i></indent>\n<indent=40>—Volstead Act, titre II, section 3</indent>"	"Alcohol made undrinkable, but suitable for commercial and industrial purposes.\n\nThe Volstead Act prohibited the production of alcohol intended for consumption, such as whiskey. But industrial ethanol was just too useful and necessary to so many things to ban. So the law required that legal alcohol be made unsuitable for consumption. However, that state is easily reversed if you want to turn it into moonshine. Can be made from <link=""corn-syrup"">corn syrup</link> and <link=""bottles"">bottles</link> at a <link=""conversion-neutral-alcohol"">Backroom Basic Distillery</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $14 per case</b></indent>\n\n<i><indent=30>Liquor for nonbeverage purposes ... may be manufactured, purchased, sold, bartered, transported, imported, exported, delivered, furnished and possessed, but only as herein provided and the commissioner may, upon application, issue permits therefor.</i></indent>\n<indent=40>—The Volstead Act, Title II, Sec 3</indent>"
info.crocks.icon	"<sprite name=""res jugs"">"	"<sprite name=""res jugs"">"
info.crocks.name	Pots en grès	Stoneware Crocks
info.crocks.desc	"Un récipient ordinaire et sans fioritures, utilisé pour la production d’alcool artisanal basique.\n\nLes pots en grès servaient dans une foule de situations. Ils sont à la fois bon marché, volumineux et faciles à transporter.\n\n<indent=15><b>Prix de base\n<sprite name=""ui buy""> 2 $ chacun</b></indent>\n\n<i><indent=30>Je suis un idéaliste. Je ne sais pas où je vais, mais j’y vais.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"A basic, common container for making basic homemade booze.\n\nStoneware crocks were used for just about everything. They're cheap, voluminous and easily transported.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $2 each</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.small-bottles.icon	"<sprite name=""res small-bottles"">"	"<sprite name=""res small-bottles"">"
info.small-bottles.name	Petites bouteilles	Small Bottles
info.small-bottles.desc	"De petites bouteilles à liqueur utilisées pour la production de breuvages un peu plus corsés.\n\nLes petites bouteilles servent à embouteiller certains types de boissons alcoolisées, ainsi que d’autres liquides.\n\n<indent=15><b>Prix de base\n<sprite name=""ui buy""> 3 $ la caisse</b></indent>\n\n<i><indent=30>Je suis un idéaliste. Je ne sais pas où je vais, mais j’y vais.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Small liquor bottles for the more potent drinks.\n\nSmall bottles are for bottling some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.bottles.icon	"<sprite name=""res bottles"">"	"<sprite name=""res bottles"">"
info.bottles.name	Bouteilles	Bottles
info.bottles.desc	"Des bouteilles de taille classique.\n\nLes bouteilles servent à la production, au transport et au stockage de certains types de boissons alcoolisées, ainsi que d’autres liquides.\n\n<indent=15><b>Prix de base\n<sprite name=""ui buy""> 5 $ la caisse</b></indent>\n\n<i><indent=30>Drum on your drums, batter on your banjos, sob on the long cool winding saxophones. Go to it, O jazzmen.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Regular-sized bottles.\n\nBottles are for manufacture, transport and storage of some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per case</b></indent>\n\n<i><indent=30>Drum on your drums, batter on your banjos, sob on the long cool winding saxophones. Go to it, O jazzmen.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.sugar.icon	"<sprite name=""res sugar"">"	"<sprite name=""res sugar"">"
info.sugar.name	Sucre	Sugar
info.sugar.desc	"Saccharum officinarum\n\nDe la nourriture à levures. Le sucre est pratique pour encourager la production de levures et faire pétiller toutes sortes de choses.\n\n<indent=15><b>Prix de base\n<sprite name=""ui buy""> 6 $ la caisse</b></indent>\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Saccharum officinarum\n\nYeast food. Sugar is useful for encouraging the production of yeast and getting things to fizz up.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.hops.icon	"<sprite name=""res hops"">"	"<sprite name=""res hops"">"
info.hops.name	Houblon	Hops
info.hops.desc	"Humulus lupulus\n\nMélangé à de la levure, de l’orge et de l’eau, le houblon produit de la bière. Ce dernier décuple le parfum et la saveur de la bière et peut être utilisé pour donner à votre breuvage un côté plus... bièreux.\n\n<indent=15><b>Prix de base\n<sprite name=""ui buy""> 25 $ la caisse</b></indent>\n\n<i><indent=30>Hopfen und Malz Gott erhalt's.</i></indent>\n<indent=40>—Toast allemand</indent>"	"Humulus lupulus\n\nWith yeast, barley and water they make beer. Hops add the fragrance and flavor to beer and can be used to infuse your brew with more beer-ness.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $25 per crate</b></indent>\n\n<i><indent=30>Hopfen und Malz Gott erhalt's.</i></indent>\n<indent=40>—German toast</indent>"
info.spices.icon	"<sprite name=""res spices"">"	"<sprite name=""res spices"">"
info.spices.name	Épices	Spices
