Key	Spanish	English
info.bathtub-gin.desc	"Las especias harán de tu licor casero algo digno de un cóctel.\n\nEsta <link=""refined-booze"">bebida alcohólica refinada</link>se elabora en una <link=""production-bathtub-gin"">Fábrica de ginebra de bañera</link> mezclando <link=""moonshine"">licores caseros</link> de vasijas con <link=""spices"">especias</link>. Después, se envasa todo en <link=""small-bottles"">botellas pequeñas</link> que se envían a los bares clandestinos de la ciudad. Si pules tus habilidades un poco más, podrás aprender a elaborarla a partir de <link=""corn-syrup"">sirope de maíz</link> en un <link=""production-bathtub-gin-upgraded"">Alambique de ginebra de bañera</link> y aprovechar los licores caseros para otras cosas.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 24 $ por caja</b></indent>\n\n<i><indent=30>Poseo un autocontrol envidiable; jamás me tomo algo más fuerte que una ginebra antes del desayuno.</i></indent>\n<indent=40>—W.C. Fields</indent>"	"Spices will turn your moonshine into something worthy of a cocktail.\n\nAt a <link=""production-bathtub-gin"">Bathtub Ginworks</link>, this <link=""refined-booze"">refined booze</link> is made when crocks of <link=""moonshine"">moonshine</link> are concocted with some <link=""spices"">spices</link>, put into <link=""small-bottles"">small bottles</link> and moved to speakeasies all over town. With some extra skills under your belt, you can also learn how to make it directly from <link=""corn-syrup"">corn syrup</link> at a <link=""production-bathtub-gin-upgraded"">Bathtub Gin Still</link> and put that moonshine to other uses.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $24 per case</b></indent>\n\n<i><indent=30>I exercise strong self control. I never drink anything stronger than gin before breakfast.</i></indent>\n<indent=40>—W.C. Fields</indent>"
info.moonshine.icon	"<sprite name=""res moonshine"">"	"<sprite name=""res moonshine"">"
info.moonshine.name	Licor casero	Moonshine
info.moonshine.desc	"Una libación fuerte que se elabora a partir del alcohol neutro en vasijas o del maíz.\n\nLa ley seca ha sacado el lado creativo de la gente con respecto a la fabricación de licores. El <link=""moonshine"">licor casero</link> es una <link=""homemade-booze"">bebida alcohólica</link> que se elabora en una <link=""homebooze-moonshine"">Operación de licor casero de trastienda</link>, evaporando los aditivos desagradables (y venenosos) que contiene el <link=""neutral-alcohol"">alcohol neutro</link>, y que se vende como producto refinado por <link=""crocks"">vasija</link>.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 20 $ por vasija</b></indent>\n\n<i><indent=30>La ley seca tan solo oculta la ebriedad tras las puertas y en lugares oscuros, pero ni la cura ni la reduce.</i></indent>\n<indent=40>—Mark Twain</indent>"	"Made from neutral alcohol in crocks or from corn, a potent libation.\n\nProhibition has forced everyone into being creative with spirits. <link=""moonshine"">Moonshine</link> is <link=""homemade-booze"">homemade booze</link> made at a <link=""homebooze-moonshine"">Backroom Moonshine Operation</link> by evaporating off the unpleasant (and poisonous) additives in <link=""neutral-alcohol"">neutral alcohol</link> and then selling the slightly refined product by the <link=""crocks"">crock</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $20 per crock</b></indent>\n\n<i><indent=30>Prohibition only drives drunkenness behind doors and into dark places, and does not cure it or even diminish it.</i></indent>\n<indent=40>—Mark Twain</indent>"
info.brick-wine.icon	"<sprite name=""res brick-wine"">"	"<sprite name=""res brick-wine"">"
info.brick-wine.name	Vino de cartón	Brick Wine
info.brick-wine.desc	"Unos cartones de concentrado de uvas de California que se han convertido en vasijas de vino de cartón.\n\nLos dueños de viñedos en California han empezado a enviar al resto del país cantidades industriales de cartones uniformes de <link=""grape-juice"">concentrado de uva</link> deshidratada que incluyen instrucciones detalladas sobre cómo evitar su fermentación, que es ilegal, claro. Mete el contenido en <link=""crocks"">vasijas de cerámica</link> en una <link=""homebooze-brick-wine"">Operación de vino de cartón de trastienda</link> y mézclalo con agua y ya está; tu <link=""homemade-booze"">bebida alcohólica casera</link> estará lista para su venta al público.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 15 $ por vasija</b></indent>\n\n<i><indent=30>El vino es una de las bebidas más sanas e higiénicas.</i></indent>\n<indent=40>—Louis Pasteur</indent>"	"Bricks of grape concentrate from California turned into crocks of brick Wine.\n\nVineyard owners in California started flooding the rest of the country with uniformly shaped bricks of dehydrated <link=""grape-juice"">grape concentrate</link> and some very specific instructions of what to do to prevent fermentation. That would be illegal. Just put it in <link=""crocks"">stoneware crocks</link> at a <link=""homebooze-brick-wine"">Backroom Brick Wine Operation</link> and mix with water and you're good to go sell the resulting <link=""homemade-booze"">homemade booze</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $15 per crock</b></indent>\n\n<i><indent=30>Wine is the most healthful and most hygienic of beverages.</i></indent>\n<indent=40>—Louis Pasteur</indent>"
info.cider.icon	"<sprite name=""res cider"">"	"<sprite name=""res cider"">"
info.cider.name	Sidra	Hard Cider
info.cider.desc	"El zumo de manzana que se deja en vasijas de cerámica se convierte rápidamente en sidra.\n\nLa sidra con alcohol es un tipo de <link=""homemade-booze"">bebida alcohólica casera</link> que lleva tiempo en los EE.UU. y, durante la ley seca, volvieron a surgir recetas familiares y olvidadas. En una <link=""homebooze-cider"">Operación de sidra de trastienda</link>, mete <link=""apple-juice"">zumo de manzana</link> en <link=""crocks"">vasijas de cerámica</link> y espera a que la fermentación haga de las suyas.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 12 $ por vasija</b></indent>\n\n<i><indent=30>Dame el pan de ayer, la carne de hoy y la sidra del año pasado.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"	"Simple apple juice left in stoneware crocks will soon turn into hard cider.\n\nCider—and specifically hard, alcoholic cider—has is a type of <link=""homemade-booze"">homemade booze</link> with a long history in the US. During Prohibition, lots of family recipes and dimly remembered recipes for hard cider reemerged. At a <link=""homebooze-cider"">Backroom Cider Operation</link>, take <link=""apple-juice"">apple juice</link>, mix into <link=""crocks"">stoneware crocks</link> and await the magic of fermentation.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $12 per crock</b></indent>\n\n<i><indent=30>Give me yesterday's bread, this day's flesh, and last year's cider.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.home-brew.icon	"<sprite name=""res home-brew"">"	"<sprite name=""res home-brew"">"
info.home-brew.name	Cerveza casera	Homemade Beer
info.home-brew.desc	"El sirope de malta que producen las cervecerías reformadas puede convertirse en cerveza casera fácilmente.\n\nEn 1920, las cervecerías de los EE.UU. quedaron obsoletas y algunas optaron por preparar <link=""malt"">sirope de malta</link>, que venía con instrucciones detalladas que ayudaría al consumidor medio a evitar su tendencia a fermentar y a convertirse en... cerveza. En <link=""homebooze-home-brew"">Operaciones de cerveza casera de trastienda</link> usa <link=""crocks"">vasijas de cerámica</link> y sirope de malta para elaborar grandes cantidades de cerveza casera.\n\n<indent=15><b>Precio base\n<sprite name=""ui sell""> 8 $ por vasija</b></indent>\n\n<i><indent=30>Kde se pivo vaří, tam se dobře daří.</i></indent>\n<indent=40>—refrán checo</indent>"	"Malt syrup churned out by now dry breweries easily converts to homemade beer.\n\nWhen 1920 made the breweries all over the US suddenly obsolete, some began making <link=""malt"">malt syrup</link>. And they included careful instructions to help the general public avoid its unfortunate tendency to ferment into, well, beer. <link=""homebooze-home-brew"">Backroom Home Brew Operations</link> make use of <link=""crocks"">stoneware crocks</link> and malt syrup to produce large amounts of homemade beer.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $8 per crock</b></indent>\n\n<i><indent=30>Kde se pivo vaří, tam se dobře daří.</i></indent>\n<indent=40>—Czech proverb</indent>"
info.grape-juice.icon	"<sprite name=""res grape-juice"">"	"<sprite name=""res grape-juice"">"
info.grape-juice.name	Concentrado de uva	Grape Concentrate
info.grape-juice.desc	"Elaborado a partir de uvas. Evitar su fermentación.\n\nLos dueños de viñedos tuvieron que tomar decisiones difíciles en 1920; algunos optaron por cambiar de cultivo, otros se quedaron sin trabajo, pero hubo quienes siguieron expandiéndose. Se dedicaron a convertir sus cosechas en cartones de concentrado para facilitar el transporte. Algunos incluían paquetes de sabores a oporto o jerez. Se puede elaborar en una <link=""conversion-grape-juice"">Prensa de uvas</link> usando <link=""grapes"">uvas</link> y <link=""half-barrel"">barriles pequeños</link>.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 12 $ por barril pequeño</b></indent>\n\n<i><indent=30>Cada cartón disuelto en un galón de agua produce un galón de ponche sin alcohol y sin fermentar. Para evitar su fermentación añada entre 1 y 10 % de benzoato de sodio.</i></indent>\n<indent=40>—Instrucciones en los cartones de uvas de Vino Sano California</indent>"	"Made from grapes and never to be left to ferment.\n\nVineyard owners faced some tough decisions in 1920. Some planted other things. Some went out of business entirely. But some kept growing. They just converted their harvests into concentrated bricks for easy shipment. Some included flavor packets for things like port or sherry. Can be made at a <link=""conversion-grape-juice"">Grape Press</link> from <link=""grapes"">grapes</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $12 per small barrel</b></indent>\n\n<i><indent=30>Each brick dissolved in gallon of water produces gallon of unfermented, non-alcoholic punch juice. To prevent fermentation add 1-10% benzoate of soda.</i></indent>\n<indent=40>—Directions on Vino Sano California Grape Bricks</indent>"
info.malt.icon	"<sprite name=""res malt"">"	"<sprite name=""res malt"">"
info.malt.name	Sirope de malta	Malt Syrup
info.malt.desc	"Un sirope espeso elaborado a partir de cebada germinada que tiende a fermentar.\n\nLas cervecerías se enfrentaron a una crisis mortal en 1920. Como tenían prohibido la fabricación de cerveza, algunas optaron por hacer helados o refrescos. No obstante, otras darían pie a una nueva costumbre saludable que surgió cuando en Estados Unidos se descubrieron los beneficios del consumo de sirope de malta (el cual <i>nunca</i> permitieron que fermentase y se convirtiese en una bebida alcohólica como la cerveza). Se puede elaborar en un <link=""conversion-malt"">Procesador de malta</link> a partir de <link=""barley"">cebada</link>.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 5 $ por barril pequeño</b></indent>\n\n<i><indent=30>Hay veces en las que el cerebro recurre tanto a nuestra vitalidad que no podemos digerir la comida, que no recuperamos fuerzas al comer. Si permitimos que algo así continúe, cosecharemos las semillas de la debilidad en la que florecerá la enfermedad. ¡Espabila! Extracto de malta Pabst - la “mejor” tónica.</i></indent>\n<indent=40>—Anuncio de tónica de malta Pabst</indent>"	"Thick syrup made from sprouted barley that tends to ferment.\n\nBreweries faced a mortal crisis in 1920. Forbidden to make beer, some turned to making ice cream or soda. Some, however, kindled a new health kick, particular to the era when Americans discovered the unique health benefits of drinking malt syrup — which they <i>never</i> left to ferment into a beer-like beverage. Can be made at a <link=""conversion-malt"">Malt Processor</link> from <link=""barley"">barley</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per small barrel</b></indent>\n\n<i><indent=30>There are times when the brain draws so upon our vitality that we cannot digest our food, we gain no strength from what we eat. If we let this go on, we sow the seeds of weakness which will blossom in disease. Act at once! Pabst Malt Extract - the ""Best"" Tonic.</i></indent>\n<indent=40>—Pabst Malt Tonic Advertisement</indent>"
info.apple-juice.icon	"<sprite name=""res apple-juice"">"	"<sprite name=""res apple-juice"">"
info.apple-juice.name	Zumo de manzana	Apple Juice
info.apple-juice.desc	"Es fácil convertir el zumo de manzana en sidra; no hace falta saber mucho del tema.\n\nEl brandi y la sidra de manzana solían ser de las bebidas alcohólicas más comunes en los Estados Unidos. Ahora podrás aprovechar la omnipresencia de las humildes manzanas para elaborar y vender <link=""cider"">sidra</link>. Se puede elaborar en una <link=""conversion-apple-juice"">Prensa de manzanas</link> con <link=""apples"">manzanas</link> y <link=""half-barrel"">barriles pequeños</link>.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 8 $ por barril pequeño</b></indent>\n\n<i><indent=30>Conn, un caballero del condado de New Haven, ha ordenado la tala de un huerto de manzanas porque “de las manzanas se puede sacar zumo y, del zumo, un licor, que si se ingiere puede emborrachar a cualquiera”.</i></indent>\n<indent=40>—Informe de Phoenix Gazette sobre la Templanza el 10 de julio de 1829</indent>"	"Apple juice easily converts to hard cider with just a bit of common knowhow.\n\nBrandy and hard cider made from apples were once the most common forms of alcoholic beverage in the US. Now you can use the ubiquity of the humble apple to craft <link=""cider"">cider</link> for sale. Can be made in a <link=""conversion-apple-juice"">Apple Press</link> with <link=""apples"">apples</link> and <link=""half-barrel"">small barrels</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $8 per small barrel</b></indent>\n\n<i><indent=30>A gentleman in New Haven County, Conn. has recently ordered a fine apple orchard to to be cut down ""because the apples may be ground into cider, the cider may be distilled into a spiritous liquor and liquor, if drunken, will make a man drunk"".</i></indent>\n<indent=40>—Phenix Gazette report on Temperance, July 10, 1829</indent>"
info.neutral-alcohol.icon	"<sprite name=""res alcohol-btl"">"	"<sprite name=""res alcohol-btl"">"
info.neutral-alcohol.name	Alcohol neutro	Neutral Alcohol
info.neutral-alcohol.desc	"Un alcohol que no es apto para su consumo, pero que tiene usos comerciales e industriales.\n\nLa ley Volstead prohibió la producción de alcohol para el consumo, como el whisky, pero el etanol industrial era demasiado útil y necesario como para vetarlo. Por ello, se exigió que el alcohol legal elaborado no pudiese ingerirse. No obstante, su composición era fácilmente reversible, si lo que se pretendía era conseguir licor casero. Se puede preparar a partir de <link=""corn-syrup"">sirope de maíz</link> y en <link=""bottles"">botellas</link> en una <link=""conversion-neutral-alcohol"">Destilería básica de trastienda</link>.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 14 $ por caja</b></indent>\n\n<i><indent=30>El licor está permitido en los siguientes ejercicios con fines ajenos al consumo de bebidas alcohólicas: producción, compra, venta, permuta, transporte, importación, exportación, envío, suministración y posesión; pero solo de la manera expuesta aquí y si un inspector, tras su aplicación, entrega un permiso.</i></indent>\n<indent=40>—La ley Volstead, 2º título, 3ª sección</indent>"	"Alcohol made undrinkable, but suitable for commercial and industrial purposes.\n\nThe Volstead Act prohibited the production of alcohol intended for consumption, such as whiskey. But industrial ethanol was just too useful and necessary to so many things to ban. So the law required that legal alcohol be made unsuitable for consumption. However, that state is easily reversed if you want to turn it into moonshine. Can be made from <link=""corn-syrup"">corn syrup</link> and <link=""bottles"">bottles</link> at a <link=""conversion-neutral-alcohol"">Backroom Basic Distillery</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $14 per case</b></indent>\n\n<i><indent=30>Liquor for nonbeverage purposes ... may be manufactured, purchased, sold, bartered, transported, imported, exported, delivered, furnished and possessed, but only as herein provided and the commissioner may, upon application, issue permits therefor.</i></indent>\n<indent=40>—The Volstead Act, Title II, Sec 3</indent>"
info.crocks.icon	"<sprite name=""res jugs"">"	"<sprite name=""res jugs"">"
info.crocks.name	Vasijas de cerámica	Stoneware Crocks
info.crocks.desc	"Un recipiente sencillo y común con el que elaborar alcohol casero.\n\nLas vasijas de cerámica se usaban para cualquier cosa, ya que eran baratas, grandes y fáciles de transportar.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 2 $ cada una</b></indent>\n\n<i><indent=30>Soy un idealista. No sé a dónde me dirijo, pero voy en camino.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"A basic, common container for making basic homemade booze.\n\nStoneware crocks were used for just about everything. They're cheap, voluminous and easily transported.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $2 each</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.small-bottles.icon	"<sprite name=""res small-bottles"">"	"<sprite name=""res small-bottles"">"
info.small-bottles.name	Botellas pequeñas	Small Bottles
info.small-bottles.desc	"Unas botellas pequeñas de licor usadas para conservar el alcohol más fuerte.\n\nSirven para envasar bebidas alcohólicas y otros líquidos.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 3 $ por caja</b></indent>\n\n<i><indent=30>Soy un idealista. No sé a dónde me dirijo, pero voy en camino.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Small liquor bottles for the more potent drinks.\n\nSmall bottles are for bottling some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>I'm an idealist. I don't know where I'm going, but I'm on my way.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.bottles.icon	"<sprite name=""res bottles"">"	"<sprite name=""res bottles"">"
info.bottles.name	Botellas	Bottles
info.bottles.desc	"Unas botellas de tamaño normal.\n\nSe utilizan para la elaboración, el transporte y la conservación de ciertos tipos de bebidas alcohólicas y otros líquidos.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 5 $ por caja</b></indent>\n\n<i><indent=30>Drum on your drums, batter on your banjos, sob on the long cool winding saxophones. Go to it, O jazzmen.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Regular-sized bottles.\n\nBottles are for manufacture, transport and storage of some types of alcoholic beverages and other liquids.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $5 per case</b></indent>\n\n<i><indent=30>Drum on your drums, batter on your banjos, sob on the long cool winding saxophones. Go to it, O jazzmen.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.sugar.icon	"<sprite name=""res sugar"">"	"<sprite name=""res sugar"">"
info.sugar.name	Azúcar	Sugar
info.sugar.desc	"Saccharum officinarum.\n\nEs condumio para la levadura. El azúcar sirve para incentivar la producción de levadura y para que se genere espuma.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 6 $ por caja</b></indent>\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Saccharum officinarum\n\nYeast food. Sugar is useful for encouraging the production of yeast and getting things to fizz up.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $3 per case</b></indent>\n\n<i><indent=30>Hog Butcher for the World, Tool Maker, Stacker of Wheat, Player with Railroads and the Nation's Freight Handler;Stormy, husky, brawling, City of the Big Shoulders.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.hops.icon	"<sprite name=""res hops"">"	"<sprite name=""res hops"">"
info.hops.name	Frutos de lúpulo	Hops
info.hops.desc	"Humulus lupulus.\n\nCon levadura, cebada y agua se elabora cerveza. Los frutos de lúpulo son responsables del aroma y del sabor de la cerveza y pueden usarse para darle un toque extra.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 25 $ por caja</b></indent>\n\n<i><indent=30>Hopfen und Malz Gott erhalt's.</i></indent>\n<indent=40>—Brindis alemán</indent>"	"Humulus lupulus\n\nWith yeast, barley and water they make beer. Hops add the fragrance and flavor to beer and can be used to infuse your brew with more beer-ness.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $25 per crate</b></indent>\n\n<i><indent=30>Hopfen und Malz Gott erhalt's.</i></indent>\n<indent=40>—German toast</indent>"
info.spices.icon	"<sprite name=""res spices"">"	"<sprite name=""res spices"">"
info.spices.name	Especias	Spices
info.spices.desc	"Se utilizan para darle sabor a las diferentes bebidas.\n\nSi se usan con cabeza, pueden darle copiosos aromas y matices a los cócteles y las bebidas de los bares clandestinos.\n\n<indent=15><b>Precio base\n<sprite name=""ui buy""> 15 $ por caja</b></indent>\n\n<i><indent=30><i>Every inordinate cup is unbless'd, and the ingredient is a devil.</i></indent>\n<indent=40>—William Shakespeare</indent>"	"To infuse flavor into different types of booze\n\nThe judicious use of spices can create many kinds of infusions that deliver the flavor and personality to cocktail and drinks at fancy speakeasies.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $15 per box</b></indent>\n\n<i><indent=30><i>Every inordinate cup is unbless'd, and the ingredient is a devil.</i></indent>\n<indent=40>—William Shakespeare</indent>"
info.labels.icon	"<sprite name=""res labels"">"	"<sprite name=""res labels"">"
info.labels.name	Etiquetas de botella	Bottle Labels
