KEY	Korean	English
__id	ko	en

		;; encyclopedia

pedia.dialog.title	금주법 백과사전	Prohibition Encyclopedia
pedia.dialog.default-text	자세한 내용을 보려면 왼쪽의 주제 중 하나를 선택하세요. 특정 주제에 대해 더 자세히 알아보려면 링크를 따르세요.	Select one of the topics on the left to learn more. Follow links to dig further into a topic.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}	<b><size=120%>{name}</size></b>\n\n{desc}

pedia.cat.resources	자원	Resources
pedia.cat.businesses	비즈니스 종류	Business Types
pedia.cat.skills	스킬	Skills
pedia.cat.gameplay	게임플레이	Gameplay
pedia.cat.gambling	도박	Gambling
pedia.cat.others	Other
info.cider.desc	단순한 사과 주스가 스톤웨어 항아리에서 하드 사이다로 변합니다.\n\n사이다, 특히 하드 사이다는 미국에서 오랜 역사를 가진 <link="homemade-booze">양조주</link>입니다. 금주법 동안 많은 가정용 레시피가 다시 등장했으며, <link="homebooze-cider">밀실 사이다 작업장</link>에서 사과 주스를 <link="crocks">스톤웨어 항아리</link>에 섞어 발효의 마법을 기다립니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $12 per crock</b></indent>\n\n<i><indent=30>어제의 빵, 오늘의 고기, 지난해의 사이다를 주세요.</i></indent>\n<indent=40>—벤자민 프랭클린</indent>

info.home-brew.icon	<sprite name="res home-brew">
info.home-brew.name	홈브루
info.home-brew.desc	말린 양조장에서 나온 맥아 시럽은 쉽게 홈브루로 변합니다.\n\n1920년에 미국 전역의 양조장이 갑자기 문을 닫으면서 일부는 <link="malt">맥아 시럽</link>을 만들기 시작했습니다. 그들은 발효되지 않도록 주의하는 방법을 포함한 지침을 제공했습니다. <link="homebooze-home-brew">홈브루 작업장</link>에서는 <link="crocks">스톤웨어 항아리</link>와 맥아 시럽을 사용해 대량의 홈브루를 생산합니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $8 per crock</b></indent>\n\n<i><indent=30>맥주가 만들어지는 곳은 모든 것이 잘 이루어진다.</i></indent>\n<indent=40>—체코 속담</indent>

info.grape-juice.icon	<sprite name="res grape-juice">
info.grape-juice.name	포도 벽돌
info.grape-juice.desc	포도로 만들며, 절대 발효되게 두지 마세요.\n\n1920년, 포도밭 주인들은 어려운 결정을 내려야 했습니다. 일부는 다른 작물을 심었고, 일부는 완전히 사업을 접었지만, 일부는 수확을 농축된 벽돌로 바꾸어 쉽게 운반할 수 있게 만들었습니다. 일부는 포트나 셰리와 같은 맛을 위한 향미 팩을 포함시키기도 했습니다. 이는 <link="conversion-grape-juice">포도 프레스</link>에서 <link="grapes">포도</link>와 <link="half-barrel">소형 배럴</link>을 사용해 만들 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $12 per small barrel</b></indent>\n\n<i><indent=30>각 벽돌은 1갤런의 물에 녹여 1갤런의 발효되지 않은 비알콜 펀치 주스를 만듭니다. 발효를 막기 위해 1-10%의 벤조에이트 소다를 추가하세요.</i></indent>\n<indent=40>—Vino Sano 캘리포니아 포도 벽돌의 지침</indent>

info.malt.icon	<sprite name="res malt">
info.malt.name	맥아 시럽
info.malt.desc	발아된 보리로 만든 농축된 시럽은 발효되는 경향이 있습니다.\n\n양조장들은 1920년에 심각한 위기를 맞았습니다. 맥주를 만들 수 없게 되자 일부는 아이스크림이나 탄산음료를 만들기 시작했습니다. 그러나 일부는 당시 미국인들이 맥아 시럽의 독특한 건강 효능을 발견하면서 새로운 건강 열풍을 일으켰습니다. 시럽을 발효시켜 맥주와 같은 음료를 만들지 않도록 했습니다. <link="conversion-malt">맥아 가공기</link>에서 <link="barley">보리</link>를 사용해 만들 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $5 per small barrel</b></indent>\n\n<i><indent=30>때로는 뇌가 우리의 활력을 너무 많이 소모하여 음식을 소화할 수 없고, 먹은 것으로 힘을 얻지 못합니다. 이것을 방치하면 약점의 씨앗을 뿌려 병이 꽃피게 합니다. 즉시 행동하세요! Pabst 맥아 추출물 - "최고의" 강장제.</i></indent>\n<indent=40>—Pabst 맥아 강장제 광고</indent>

info.apple-juice.icon	<sprite name="res apple-juice">
info.apple-juice.name	사과 주스
info.apple-juice.desc	사과 주스는 조금만 알면 쉽게 하드 사이다로 변합니다.\n\n사과에서 만든 브랜디와 하드 사이다는 한때 미국에서 가장 흔한 알콜 음료였습니다. 이제 이 평범한 사과로 <link="cider">사이다</link>를 만들어 판매할 수 있습니다. <link="conversion-apple-juice">사과 프레스</link>에서 <link="apples">사과</link>와 <link="half-barrel">소형 배럴</link>을 사용해 만들 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $8 per small barrel</b></indent>\n\n<i><indent=30>코네티컷 뉴헤이븐 카운티의 한 신사는 최근에 사과 과수원을 베어버리라는 명령을 내렸습니다. "사과가 사이다로 갈아지고, 사이다는 증류되어 알콜 음료가 되고, 술을 마시면 사람이 취한다."</i></indent>\n<indent=40>—Phenix Gazette, 금주에 관한 기사, 1829년 7월 10일</indent>

info.neutral-alcohol.icon	<sprite name="res alcohol-btl">
info.neutral-alcohol.name	중성 알코올
info.neutral-alcohol.desc	마시지 못하도록 만든 알코올, 상업적 및 산업적 용도로 적합합니다.\n\nVolstead 법은 음용을 위한 알코올 생산을 금지했습니다. 그러나 산업용 에탄올은 너무 유용해서 금지할 수 없었습니다. 그래서 법은 음용에 적합하지 않도록 알코올을 만들도록 요구했습니다. 그러나 이 상태는 쉽게 되돌릴 수 있으며, 밀주로 만들 수 있습니다. <link="corn-syrup">옥수수 시럽</link>과 <link="bottles">병</link>을 사용해 <link="conversion-neutral-alcohol">밀실 기본 증류소</link>에서 만들 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $14 per case</b></indent>\n\n<i><indent=30>음료가 아닌 용도로 제조된 술은 ... 제조, 구매, 판매, 교환, 운반, 수입, 수출, 제공 및 소유가 가능하며, 단지 여기에 규정된 대로만 가능하고, 관리자는 이에 대한 허가를 발급할 수 있습니다.</i></indent>\n<indent=40>—Volstead 법, Title II, Sec 3</indent>

info.crocks.icon	<sprite name="res jugs">
info.crocks.name	스톤웨어 항아리
info.crocks.desc	기본적인 양조주 제조용 용기.\n\n스톤웨어 항아리는 모든 것에 사용되었습니다. 저렴하고 부피가 크며 쉽게 운반할 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $2 each</b></indent>\n\n<i><indent=30>나는 이상주의자입니다. 나는 어디로 가는지 모르지만, 나는 가고 있습니다.</i></indent>\n<indent=40>—칼 샌드버그</indent>

info.small-bottles.icon	<sprite name="res small-bottles">
info.small-bottles.name	작은 병
info.small-bottles.desc	강한 술을 담는 작은 병.\n\n작은 병은 일부 종류의 알콜 음료와 다른 액체를 담는 데 사용됩니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $3 per case</b></indent>\n\n<i><indent=30>나는 이상주의자입니다. 나는 어디로 가는지 모르지만, 나는 가고 있습니다.</i></indent>\n<indent=40>—칼 샌드버그</indent>

info.bottles.icon	<sprite name="res bottles">
info.bottles.name	병
info.bottles.desc	일반 크기의 병.\n\n병은 일부 종류의 알콜 음료와 다른 액체를 제조, 운반 및 저장하는 데 사용됩니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $5 per case</b></indent>\n\n<i><indent=30>당신의 드럼을 두드리고, 밴조를 치고, 긴 시원한 색소폰에서 울부짖어라. 가자, 재즈맨들아.</i></indent>\n<indent=40>—칼 샌드버그</indent>

info.sugar.icon	<sprite name="res sugar">
info.sugar.name	설탕
info.sugar.desc	효모의 음식. 설탕은 효모의 생성을 촉진하고 음료에 탄산을 넣는 데 유용합니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $6 per case</b></indent>\n\n<i><indent=30>세계에서 가장 큰 도살자, 도구 제작자, 밀쌓는 사람, 철도와 국가의 화물 처리자; 폭풍우가 몰아치고, 시끄럽고, 싸우는, 큰 어깨 도시.</i></indent>\n<indent=40>—칼 샌드버그</indent>

info.hops.icon	<sprite name="res hops">
info.hops.name	홉
info.hops.desc	효모, 보리, 물과 함께 맥주를 만듭니다. 홉은 맥주에 향과 맛을 더하고, 맥주 특유의 맛을 더할 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $25 per crate</b></indent>\n\n<i><indent=30>홉과 맥주, 신에게 축복을!</i></indent>\n<indent=40>—독일의 건배</indent>

info.spices.icon	<sprite name="res spices">
info.spices.name	향신료
info.spices.desc	여러 종류의 술에 향을 더합니다.\n\n향신료의 적절한 사용은 칵테일과 음료에 다양한 맛과 개성을 부여합니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $15 per box</b></indent>\n\n<i><indent=30>과도한 컵은 축복받지 못하고, 재료는 악마의 것이다.</i></indent>\n<indent=40>—윌리엄 셰익스피어</indent>

info.labels.icon	<sprite name="res labels">
info.labels.name	병 라벨
info.labels.desc	술 병에 붙이는 진짜처럼 보이는 라벨.\n\n이 위조 라벨은 병에 붙여서 실제 술처럼 보이게 만듭니다. 좋은 술을 만든다면, 이 라벨로 약간의 클래스를 더할 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $9 per box</b></indent>\n\n<i><indent=30>와인이 들어가면, 이상한 것들이 나온다.</i></indent>\n<indent=40>—요한 슐리러</indent>

info.barley.icon	<sprite name="res barley">
info.barley.name	보리
info.barley.desc	맥주와 맥아 시럽의 기초, 보리는 많은 영양적 용도와 숙련된 양조사 손에 의해 많은 용도로 사용됩니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $9 per box</b></indent>\n\n<i><indent=30>깊은 선호는 논쟁할 수 없다 — 맥주 한 잔을 좋아하는 사람을 논쟁으로 바꿀 수 없다.</i></indent>\n<indent=40>—올리버 웬델 홈즈</indent>

info.half-barrel.icon	<sprite name="res half-barrel">
info.half-barrel.name	소형 배럴
info.half-barrel.desc	액체 운반을 위한 작은 나무 배럴.\n\n이 작은 배럴은 주스와 같은 액체와 다른 원료를 운반하는 데 사용됩니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $4 each</b></indent>\n\n<i><indent=30>깊은 선호는 논쟁할 수 없다 — 맥주 한 잔을 좋아하는 사람을 논쟁으로 바꿀 수 없다.</i></indent>\n<indent=40>—올리버 웬델 홈즈</indent>

info.corn-syrup.icon	<sprite name="res corn-syrup">
info.corn-syrup.name	옥수수 시럽
info.corn-syrup.desc	당분이 많고 증류가 용이합니다.\n\n옥수수 시럽의 산업 생산은 1920년대에 시작되었으며, 발효와 증류가 용이하여 중성 알콜 제조의 핵심 재료입니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $4 per barrel</b></indent>\n\n<i><indent=30>나를 모루에 놓고, 하나님, 나를 두드려서 조잡한 도구로 만들어라. 오래된 벽을 허물고, 오래된 기초를 들어내라.</i></indent>\n<indent=40>—칼 샌드버그</indent>

info.grapes.icon	<sprite name="res grapes">
info.grapes.name	포도
info.grapes.desc	Vitis vinifera\n\n포도나무의 열매. 포도는 주로 와인 생산을 위해 수천 년 동안 재배되었습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $2 per crate</b></indent>\n\n<i><indent=30>덜 익은 포도를 그리워하지 마라.</i></indent>\n<indent=40>—호라티우스</indent>

info.apples.icon	<sprite name="res apples">
info.apples.name	사과
info.apples.desc	Malus domestica\n\n사과는 유럽 식민지들이 신세계에 가져왔고 번성했습니다. 미국인들은 사과로 많은 것을 만들었습니다 - 많은 알콜 음료들도 포함하여.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $1 per bushel</b></indent>\n\n<i><indent=30>확실히 사과는 가장 고귀한 과일이다.</i></indent>\n<indent=40>—헨리 데이비드 소로</indent>

info.citrus.icon	<sprite name="res citrus">
info.citrus.name	감귤류
info.citrus.desc	다양한 용도로 활용되는 매력적인 과일\n\n감귤류는 여러 용도로 사용됩니다. 칵테일의 맛과 외관을 개선하며, 껍질은 다양한 향미주나 다른 알콜 음료 생산에 활용될 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $2 per crate</b></indent>\n\n<i><indent=30>레몬나무가 자라는 땅을 아는가, 그곳에서 금빛 오렌지가 반짝인다... 나는 거기로 가고 싶다, 나의 사랑하는 이여!</i></indent>\n<indent=40>—요한 볼프강 폰 괴테</indent>

info.fruit-other.icon	<sprite name="res fruit">
info.fruit-other.name	과일
info.fruit-other.desc	당분이 많으면 발효됩니다.\n\n시장에서 다양한 종류의 과일을 버슐 단위로 구입할 수 있습니다. 전문가가 되면, 이 과일들은 다양한 알콜 음료로 증류되거나 과일 향미주를 만드는 데 사용될 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $4 per bushel</b></indent>\n\n<i><indent=30>나에게 신선한 가을 과일을 주라, 과수원에서 익고 붉게 물든 과일을.</i></indent>\n<indent=40>—월트 휘트먼</indent>

info.wheat.icon	<sprite name="res wheat">
info.wheat.name	보리
info.wheat.desc	Triticum aestivum\n\n보리는 상상력이 제한된 사람들이 생각하는 제과, 파스타 또는 고급 밀가루 외에도, 숙련된 양조사들의 손에 의해 위스키와 같은 훌륭한 술로 변할 수 있는 잠재력을 지닌 곡물입니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $4 per sack</b></indent>\n\n<i><indent=30>보리 한 알의 진리를 이해할 수 있다면, 경이로움으로 죽을 것이다.</i></indent>\n<indent=40>—마르틴 루터</indent>

info.rye.icon	<sprite name="res rye">
info.rye.name	호밀
info.rye.desc	Secale cereale\n\n신석기 시대 이래로 인간은 호밀을 재배해왔습니다. 유럽의 호밀벨트 국가들에서 중요한 역할을 하며, 쉽게 맥주나 위스키로 변할 수 있는 곡물입니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $3 per sack</b></indent>\n\n<i><indent=30>농부는 낙관적이지 않으면 농부가 아니겠지.</i></indent>\n<indent=40>—윌 로저스</indent>

info.steel-barrels.icon	<sprite name="res steel-barrels">
info.steel-barrels.name	강철 배럴
info.steel-barrels.desc	열과 압력이 필요한 응용 분야에 사용됩니다.\n\n나무 배럴은 다양한 용도로 사용되지만, 열에 반응이 좋지 않으며 압력이 가해진 액체를 담을 수 없습니다. 강철 배럴은 그 반대입니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui buy"> $5 per barrel</b></indent>\n\n<i><indent=30>나를 모루에 놓고, 하나님, 나를 두드려서 조잡한 도구로 만들어라. 오래된 벽을 허물고, 오래된 기초를 들어내라.</i></indent>\n<indent=40>—칼 샌드버그</indent>

info.beer-keg.icon	<sprite name="res beer-keg">
info.beer-keg.name	맥주 케그
info.beer-keg.desc	저장과 운송 공간을 절약하기 위해 강철 배럴에 담긴 맥주.\n\n병에 담긴 맥주는 수익성이 있지만, 많은 저장 공간이 필요하고 운반 시 많은 주의를 요합니다. 반면 케그는 많은 문제를 해결하고 병을 대체할 수 있습니다. 양조에 더 나은 솔루션입니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $120 per barrel</b></indent>\n\n<i><indent=30>나는 사람들을 신뢰한다. 진실을 주면, 그들은 어떤 국가적 위기에도 대처할 수 있다. 중요한 점은 그들에게 진실을 전달하고, 맥주를 주는 것이다.</i></indent>\n<indent=40>—아브라함 링컨</indent>

info.whiskey-bottled.icon	<sprite name="res whisky">
info.whiskey-bottled.name	병입 위스키
info.whiskey-bottled.desc	보리나 호밀 등으로 만든 어두운 술.\n\n위스키는 대서양 양쪽에서 오랜 역사를 지닌 술입니다. 금주법 이전, 매우 인기 있었습니다. 작은 생산을 시작하려면 임시 위스키 증류소에서 병에 담을 수 있습니다. 만약 <sprite name="res whiskey-barrel"> <link="whiskey-barrel">위스키 배럴</link>을 손에 넣으면, 병입 작업장에서 병입 위스키를 만들 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $45 per case</b></indent>\n\n<i><indent=30>Seo sláinte an tséitéara, an ghadaí, an trodaí, agus an óltóra! ...</i></indent>\n<indent=40>—Irish toast</indent>

info.brandy-bottled.icon	<sprite name="res brandy">
info.brandy-bottled.name	병입 브랜디
info.brandy-bottled.desc	과일을 증류해 만든 강한 술.\n\n브랜디는 고당도 과일로 만들 수 있습니다. 임시 브랜디 증류소에서 병에 담을 수 있으며, <sprite name="res brandy-barrel"> <link="brandy-barrel">브랜디 배럴</link>을 얻으면 병입 작업장에서 만들 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $30 per case</b></indent>\n\n<i><indent=30>BRANDY, n. ...</i></indent>\n<indent=40>—Ambrose Bierce</indent>

info.vodka-bottled.icon	<sprite name="res vodka">
info.vodka-bottled.name	병입 보드카
info.vodka-bottled.desc	브랜디처럼, 발효된 후 증류하여 만든 투명한 술.\n\n중앙 및 동유럽에서 온 이민자들 덕분에 보드카가 유입되었습니다. 반복적으로 증류되고 여과되면 좋은 맛을 낼 수 있으며, 작은 생산을 시작하려면 임시 보드카 증류소에서 병에 담을 수 있습니다. <sprite name="res vodka-barrel"> <link="vodka-barrel">보드카 배럴</link>을 사용하면 병입 작업장에서 만들 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $35 per case</b></indent>\n\n<i><indent=30>Есть люди, умеющие пить водку...</i></indent>\n<indent=40>—Isaac Babel</indent>

info.rum-bottled.icon	<sprite name="res rum">
info.rum-bottled.name	병입 럼
info.rum-bottled.desc	당밀과 기타 설탕 부산물로 만든 럼.\n\n신세계에서 설탕 생산은 본래 럼을 만들기 위한 것이었습니다. 이 매운 음료는 많은 칵테일의 기본이 됩니다. 임시 럼 증류소에서 병에 담을 수 있으며, <sprite name="res barrel-rum"> <link="rum-barrel">럼 배럴</link>을 사용하면 병입 작업장에서 만들 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $28 per case</b></indent>\n\n<i><indent=30>There’s naught, no doubt...</i></indent>\n<indent=40>—Lord Byron</indent>

info.whiskey-barrel.icon	<sprite name="res whiskey-barrel">
info.whiskey-barrel.name	위스키 배럴
info.whiskey-barrel.desc	곡물로 만든 위스키.\n\n작업이 충분히 커지고 기술이 향상되면, 곡물로 대형 위스키 증류소를 만들 수 있습니다. <sprite name="res wheat"> <link="wheat">밀</link>이나 <sprite name="res rye"> <link="rye">호밀</link>을 사용하여 위스키 배럴을 만들고, 이를 다른 밀주업자에게 판매하거나 병입 작업장으로 운반해 병입 후 <sprite name="res whisky"> <link="whiskey-bottled">병입 위스키</link>로 판매할 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $2,000 per barrel</b></indent>\n\n<i><indent=30>Always carry a flagon of whiskey...</i></indent>\n<indent=40>—W.C. Fields</indent>

info.brandy-barrel.icon	<sprite name="res brandy-barrel">
info.brandy-barrel.name	브랜디 배럴
info.brandy-barrel.desc	과일로 만든 브랜디.\n\n작업이 충분히 커지고 기술이 향상되면, <sprite name="res fruit"> <link="fruit-other">과일</link>을 사용하여 대형 브랜디 증류소를 만들 수 있습니다. 이를 <sprite name="res bottles">병</link>에 담고 라벨을 붙여서 <sprite name="res brandy"> <link="brandy-bottled">병입 브랜디</link>로 판매할 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $1,200 per barrel</b></indent>\n\n<i><indent=30>Claret is the liquor for boys...</i></indent>\n<indent=40>—Samuel Johnson</indent>

info.vodka-barrel.icon	<sprite name="res vodka-barrel">
info.vodka-barrel.name	보드카 배럴
info.vodka-barrel.desc	보리로 만든 보드카 증류.\n\n작업이 충분히 커지고 기술이 향상되면, 대형 보드카 증류소를 만들 수 있습니다. 이를 사용해 보리로 만든 보드카를 대량 생산하고, 다른 밀주업자에게 판매하거나 병입 작업장에서 병에 담아 판매할 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $1,000 per barrel</b></indent>\n\n<i><indent=30>나는 이제 사랑에 빠질지, 보드카에 빠질지 모르겠다...</i></indent>\n<indent=40>—Franz Kafka</indent>

info.rum-barrel.icon	<sprite name="res barrel-rum">
info.rum-barrel.name	럼 배럴
info.rum-barrel.desc	설탕으로 만든 럼 증류.\n\n작업이 충분히 커지고 기술이 향상되면, 대형 럼 증류소를 만들 수 있습니다. 이를 사용해 설탕으로 만든 럼을 대량 생산하고, 다른 밀주업자에게 판매하거나 병입 작업장에서 병에 담아 판매할 수 있습니다.\n\n<indent=15><b>기본 가격\n<sprite name="ui sell"> $800 per barrel</b></indent>\n\n<i><indent=30>그들의 목소리엔 럼 소리가 들렸다...</i></indent>\n<indent=40>—Robert Louis Stevenson</indent>

info.cigarettes.icon	<sprite name="res cigarettes">
info.cigarettes.name	밀수 담배
