Key	Russian	English
am.firstname.f	Марджори	Marjorie
am.firstname.f	Флоренс	Florence
am.firstname.f	Лоис	Lois
am.firstname.f	Марта	Martha
am.firstname.f	Роуз	Rose
am.firstname.f	Лилиан	Lillian
am.firstname.f	Луиза	Louise
am.firstname.f	Катерина	Catherine
am.firstname.f	Руби	Ruby
am.firstname.f	Элеонора	Eleanor
am.firstname.f	Патриция	Patricia
am.firstname.f	Гладис	Gladys
am.firstname.f	Энни	Annie
am.firstname.f	Джозефина	Josephine
am.firstname.f	Тельма	Thelma
am.firstname.f	Эдна	Edna
am.firstname.f	Норма	Norma
am.firstname.f	Паулина	Pauline
am.firstname.f	Люсиль	Lucille
am.firstname.f	Эдит	Edith
am.firstname.f	Глория	Gloria
am.firstname.f	Этель	Ethel
am.firstname.f	Филлис	Phyllis
am.firstname.f	Грейс	Grace
am.firstname.f	Хейзел	Hazel
am.firstname.f	Джун	June
am.firstname.f	Бернис	Bernice
am.firstname.f	Марион	Marion
am.firstname.f	Долорес	Dolores
am.firstname.f	Рита	Rita
am.firstname.f	Лорен	Lorraine
am.firstname.f	Энн	Ann
am.firstname.f	Эстер	Esther
am.firstname.f	Беатрис	Beatrice
am.firstname.f	Хуанита	Juanita
am.firstname.f	Клара	Clara
am.firstname.f	Джейн	Jane
am.firstname.f	Джеральдина	Geraldine
am.firstname.f	Сара	Sarah
am.firstname.f	Эмма	Emma
am.firstname.f	Джоан	Joan
am.firstname.f	Джойс	Joyce
am.firstname.f	Нэнси	Nancy
am.firstname.f	Катерина	Katherine
am.firstname.f	Гертруда	Gertrude
am.firstname.f	Эльзи	Elsie
am.firstname.f	Джулия	Julia
am.firstname.f	Агнес	Agnes
am.firstname.f	Уилма	Wilma
am.firstname.f	Мариан	Marian
am.firstname.f	Берта	Bertha
am.firstname.f	Ева	Eva
am.firstname.f	Уилли	Willie
am.firstname.f	Одри	Audrey
am.firstname.f	Тереза	Theresa
am.firstname.f	Вивиан	Vivian
am.firstname.f	Ванда	Wanda
am.firstname.f	Лора	Laura
am.firstname.f	Шарлотта	Charlotte
am.firstname.f	Ида	Ida
am.firstname.f	Элен	Elaine
am.firstname.f	Энн	Anne
am.firstname.f	Мэрилин	Marilyn
am.firstname.f	Катрин	Kathryn
am.firstname.f	Максин	Maxine
am.firstname.f	Катлин	Kathleen
am.firstname.f	Виола	Viola
am.firstname.f	Перл	Pearl
am.firstname.f	Вера	Vera
am.firstname.f	Бесси	Bessie
am.firstname.f	Миртл	Myrtle
am.firstname.f	Альма	Alma
am.firstname.f	Беверли	Beverly
am.firstname.f	Вайолет	Violet
am.firstname.f	Нелли	Nellie
am.firstname.f	Элла	Ella
am.firstname.f	Лилли	Lillie
am.firstname.f	Джесси	Jessie
am.firstname.f	Джин	Jeanne
am.firstname.f	Айлин	Eileen
am.firstname.f	Эллен	Ellen
am.lastname	Адамс	Adams
am.lastname	Аллен	Allen
am.lastname	Андерсон	Anderson
am.lastname	Эндрюс	Andrews
am.lastname	Армстронг	Armstrong
am.lastname	Арнольд	Arnold
am.lastname	Бэгли	Bagley
am.lastname	Бейкер	Baker
am.lastname	Бэнкс	Banks
am.lastname	Бэррон	Barron
am.lastname	Бэрри	Barry
am.lastname	Бейтс	Bates
am.lastname	Белл	Bell
am.lastname	Беннетт	Bennett
am.lastname	Бест	Best
am.lastname	Бёрд	Bird
am.lastname	Бишоп	Bishop
am.lastname	Блэк	Black
am.lastname	Болт	Bolt
am.lastname	Бун	Boone
am.lastname	Боумен	Bowman
am.lastname	Брэдшоу	Bradshaw
am.lastname	Брэди	Brady
am.lastname	Бродерик	Broderick
am.lastname	Брукс	Brooks
am.lastname	Браун	Brown
am.lastname	Бёрк	Burke
am.lastname	Бёрнетт	Burnett
am.lastname	Бёрнс	Burns
am.lastname	Бёртон	Burton
am.lastname	Батлер	Butler
am.lastname	Бёрн	Byrne
am.lastname	Кэмпбелл	Campbell
am.lastname	Карпентер	Carpenter
am.lastname	Карр	Carr
am.lastname	Картер	Carter
am.lastname	Кейси	Casey
am.lastname	Чемберс	Chambers
am.lastname	Чепмен	Chapman
am.lastname	Кларк	Clark
am.lastname	Клири	Cleary
am.lastname	Кокрэн	Cochran
am.lastname	Коулмен	Coleman
am.lastname	Коллинс	Collins
am.lastname	Коннорс	Connors
am.lastname	Конуэй	Conway
am.lastname	Кук	Cook
am.lastname	Крамер	Cramer
am.lastname	Каннингем	Cunningham
am.lastname	Дэвис	Davis
am.lastname	Доусон	Dawson
am.lastname	Дей	Day
am.lastname	Ди	Dee
am.lastname	Даймонд	Diamond
am.lastname	Дикерсон	Dickerson
am.lastname	Дадли	Dudley
am.lastname	Данн	Dunn
am.lastname	Эдвардс	Edwards
am.lastname	Эллис	Ellis
am.lastname	Эванс	Evans
am.lastname	Фэрфакс	Fairfax
am.lastname	Фарли	Farley
am.lastname	Фентон	Fenton
am.lastname	Фишер	Fisher
am.lastname	Флемминг	Flemming
am.lastname	Флад	Flood
am.lastname	Флинн	Flynn
am.lastname	Форд	Ford
am.lastname	Фостер	Foster
am.lastname	Франклин	Franklin
am.lastname	Галлахер	Gallagher
am.lastname	Гиббс	Gibbs
am.lastname	Гилберт	Gilbert
am.lastname	Гиллмен	Gillman
am.lastname	Гилрой	Gilroy
am.lastname	Гленн	Glenn
am.lastname	Годфри	Godfrey
am.lastname	Гуд	Good
am.lastname	Гудмен	Goodman
am.lastname	Грэм	Graham
am.lastname	Грей	Gray
am.lastname	Грин	Green
am.lastname	Гросс	Gross
am.lastname	Хайт	Haight
am.lastname	Хайнс	Haines
am.lastname	Хейли	Haley
am.lastname	Холл	Hall
am.lastname	Гамильтон	Hamilton
am.lastname	Хэмлин	Hamlin
am.lastname	Харрис	Harris
am.lastname	Харрисон	Harrison
am.lastname	Харт	Hart
am.lastname	Хокинс	Hawkins
am.lastname	Хейнс	Haynes
am.lastname	Хейс	Hays
am.lastname	Хитон	Heaton
am.lastname	Хендерсон	Henderson
am.lastname	Генри	Henry
am.lastname	Хенсон	Henson
am.lastname	Хьюитт	Hewitt
am.lastname	Хилл	Hill
am.lastname	Хилл	Hill
am.lastname	Хиллмен	Hillman
am.lastname	Хайнс	Hines
am.lastname	Хоффман	Hoffmann
am.lastname	Хоган	Hogan
am.lastname	Хопкинс	Hopkins
am.lastname	Хьюстон	Houston
am.lastname	Говард	Howard
am.lastname	Хауэлл	Howell
am.lastname	Хаббард	Hubbard
am.lastname	Хьюз	Hughes
am.lastname	Хант	Hunt
am.lastname	Хантер	Hunter
am.lastname	Хатчинсон	Hutchinson
am.lastname	Ингрэм	Ingram
am.lastname	Джексон	Jackson
am.lastname	Джеймс	James
am.lastname	Джеймс	James
am.lastname	Дженкинс	Jenkins
am.lastname	Джонсон	Johnson
am.lastname	Джонс	Jones
am.lastname	Джонс	Jones
am.lastname	Келли	Kelly
am.lastname	Кинг	King
am.lastname	Найт	Knight
am.lastname	Крамер	Kramer
am.lastname	Кайл	Kyle
am.lastname	Лэнг	Lang
am.lastname	Лоуренс	Lawrence
am.lastname	Ли	Lee
am.lastname	Ли	Lee
am.lastname	Лестер	Lester
am.lastname	Льюис	Lewis
am.lastname	Линден	Linden
am.lastname	Ливингстон	Livingstone
am.lastname	Ллойд	Lloyd
am.lastname	Логан	Logan
am.lastname	Лукас	Lucas
am.lastname	Мэннинг	Manning
am.lastname	Мартин	Martin
am.lastname	Мейсон	Mason
am.lastname	Максуэлл	Maxwell
am.lastname	Меррелл	Merrell
am.lastname	Майерс	Meyers
am.lastname	Миллер	Miller
am.lastname	Митчелл	Mitchell
am.lastname	Монтгомери	Montgomery
am.lastname	Мур	Moore
am.lastname	Морган	Morgan
am.lastname	Морс	Morse
am.lastname	Мосс	Moss
am.lastname	Мёрфи	Murphy
am.lastname	Майерс	Myers
am.lastname	Нельсон	Nelson
am.lastname	Николсон	Nicholson
am.lastname	Николас	Nicolas
am.lastname	Никсон	Nixon
am.lastname	Палмер	Palmer
am.lastname	Парк	Park
am.lastname	Паркер	Parker
am.lastname	Пирс	Pierce
am.lastname	Поттс	Potts
am.lastname	Пауэлл	Powell
am.lastname	Прайс	Price
am.lastname	Патнэм	Putnam
am.lastname	Рэндалл	Randall
am.lastname	Рей	Ray
am.lastname	Рид	Reed
am.lastname	Рейнолдс	Reynolds
am.lastname	Роудс	Rhodes
am.lastname	Райс	Rice
am.lastname	Ричардсон	Richardson
am.lastname	Робертс	Roberts
am.lastname	Робинсон	Robinson
am.lastname	Росс	Ross
am.lastname	Роял	Royal
am.lastname	Расселл	Russell
am.lastname	Райан	Ryan
am.lastname	Сандерс	Sanders
am.lastname	Скотт	Scott
am.lastname	Шарп	Sharp
am.lastname	Шоу	Shaw
am.lastname	Шилдс	Shields
am.lastname	Симмонс	Simmons
am.lastname	Саймонс	Simons
am.lastname	Симпсон	Simpson
am.lastname	Смит	Smith
am.lastname	Смит	Smith
am.lastname	Сполдинг	Spaulding
am.lastname	Спенсер	Spencer
am.lastname	Стивенсон	Stevenson
am.lastname	Стюарт	Stewart
am.lastname	Салливан	Sullivan
am.lastname	Тейлор	Taylor
am.lastname	Томас	Thomas
am.lastname	Томпсон	Thompson
am.lastname	Тёрнер	Turner
am.lastname	Тайлер	Tyler
am.lastname	Урбан	Urban
am.lastname	Уолкер	Walker
am.lastname	Уолл	Wall
am.lastname	Уолш	Walsh
am.lastname	Уолтер	Walter
am.lastname	Уолтон	Walton
am.lastname	Вашингтон	Washington
am.lastname	Уивер	Weaver
am.lastname	Уэбер	Weber
am.lastname	Уэбстер	Webster
am.lastname	Уэст	West
am.lastname	Уилер	Wheeler
am.lastname	Уайт	White
am.lastname	Уильямс	Williams
am.lastname	Уилсон	Wilson
am.lastname	Райт	Wright
am.lastname	Янг	Young
am.lastname	Пасковски	Paskowski
am.lastname	Блок	Block
am.lastname	Конклинг	Conkling
am.lastname	Фёрмо	Firmo
am.lastname	Ласки	Laskey
am.lastname	Марион	Marion
am.lastname	Майо	Mayo
am.lastname	Робисон	Robison
am.lastname	Андервуд	Underwood
en.adj.eth	Английский	English
en.noun.sing.m	Англичанин	English
en.noun.sing.f	Англичанка	English
en.noun.pl	Англичане	English
en.firstname.m	Джон	John
en.firstname.m	Уильям	William
en.firstname.m	Джордж	George
en.firstname.m	Джеймс	James
en.firstname.m	Томас	Thomas
en.firstname.m	Рональд	Ronald
en.firstname.m	Кеннет	Kenneth
en.firstname.m	Роберт	Robert
en.firstname.m	Артур	Arthur
en.firstname.m	Фредерик	Frederick
en.firstname.m	Питер	Peter
en.firstname.m	Эдвард	Edward
en.firstname.m	Альберт	Albert
en.firstname.m	Чарльз	Charles
en.firstname.m	Лесли	Leslie
en.firstname.m	Джозеф	Joseph
en.firstname.m	Стэнли	Stanley
en.firstname.m	Эрик	Eric
en.firstname.m	Фрэнк	Frank
en.firstname.m	Деннис	Dennis
en.firstname.m	Дэвид	David
en.firstname.m	Норман	Norman
en.firstname.m	Эрнест	Ernest
en.firstname.m	Генри	Henry
en.firstname.m	Леонард	Leonard
en.firstname.m	Гарольд	Harold
en.firstname.m	Альфред	Alfred
en.firstname.m	Реймонд	Raymond
en.firstname.m	Дональд	Donald
en.firstname.m	Гарри	Harry
en.firstname.m	Реджинальд	Reginald
en.firstname.m	Ричард	Richard
en.firstname.m	Джек	Jack
en.firstname.m	Уолтер	Walter
en.firstname.m	Сирил	Cyril
en.firstname.m	Джеффри	Geoffrey
en.firstname.m	Алан	Alan
en.firstname.m	Дуглас	Douglas
en.firstname.m	Гордон	Gordon
en.firstname.m	Майкл	Michael
en.firstname.m	Рой	Roy
en.firstname.m	Бернард	Bernard
en.firstname.m	Фрэнсис	Francis
en.firstname.m	Патрик	Patrick
en.firstname.m	Сидни	Sidney
en.firstname.m	Герберт	Herbert
en.firstname.m	Морис	Maurice
en.firstname.m	Клиффорд	Clifford
en.firstname.m	Энтони	Anthony
en.firstname.m	Виктор	Victor
en.firstname.m	Джеральд	Gerald
en.firstname.m	Дерек	Derek
en.firstname.m	Филип	Philip
en.firstname.m	Александр	Alexander
en.firstname.m	Уилфред	Wilfred
en.firstname.m	Эдвин	Edwin
en.firstname.m	Самюэль	Samuel
en.firstname.m	Дэнис	Denis
en.firstname.m	Сидни	Sydney
en.firstname.m	Сесил	Cecil
en.firstname.m	Колин	Colin
en.firstname.m	Лоуренс	Lawrence
en.firstname.m	Фред	Fred
en.firstname.m	Ральф	Ralph
en.firstname.m	Десмонд	Desmond
en.firstname.m	Брайан	Brian
en.firstname.m	Перси	Percy
en.firstname.m	Теренс	Terence
en.firstname.m	Кристофер	Christopher
en.firstname.m	Гораций	Horace
en.firstname.m	Хью	Hugh
en.firstname.m	Дэниел	Daniel
en.firstname.m	Эндрю	Andrew
en.firstname.m	Деррик	Derrick
en.firstname.m	Аллан	Allan
en.firstname.m	Стивен	Stephen
en.firstname.m	Айвор	Ivor
en.firstname.m	Винсент	Vincent
en.firstname.m	Тревор	Trevor
en.firstname.m	Бейзил	Basil
en.firstname.m	Арнольд	Arnold
en.firstname.m	Роланд	Roland
en.firstname.m	Бенджамин	Benjamin
en.firstname.m	Эдгар	Edgar
en.firstname.m	Иэн	Ian
en.firstname.m	Кит	Keith
en.firstname.m	Хьюберт	Hubert
en.firstname.m	Пол	Paul
en.firstname.m	Мартин	Martin
en.firstname.m	Лайонел	Lionel
en.firstname.m	Мохаммед	Mohammed
en.firstname.m	Грэм	Graham
en.firstname.m	Говард	Howard
en.firstname.m	Алек	Alec
en.firstname.m	Гилберт	Gilbert
en.firstname.m	Эдмунд	Edmund
en.firstname.m	Айвен	Ivan
en.firstname.m	Льюис	Lewis
en.firstname.m	Оуэн	Owen
en.firstname.m	Лоренс	Laurence
en.firstname.f	Маргарет	Margaret
en.firstname.f	Мэри	Mary
en.firstname.f	Джоан	Joan
en.firstname.f	Джойс	Joyce
en.firstname.f	Дороти	Dorothy
en.firstname.f	Катлин	Kathleen
en.firstname.f	Дорис	Doris
en.firstname.f	Айрин	Irene
en.firstname.f	Элизабет	Elizabeth
en.firstname.f	Айлин	Eileen
en.firstname.f	Бетти	Betty
en.firstname.f	Джин	Jean
en.firstname.f	Марджори	Marjorie
en.firstname.f	Гладис	Gladys
en.firstname.f	Дорин	Doreen
en.firstname.f	Вера	Vera
en.firstname.f	Эльзи	Elsie
en.firstname.f	Барбара	Barbara
en.firstname.f	Уинифред	Winifred
en.firstname.f	Эдна	Edna
en.firstname.f	Одри	Audrey
en.firstname.f	Эдит	Edith
en.firstname.f	Флоренс	Florence
en.firstname.f	Филлис	Phyllis
en.firstname.f	Лилиан	Lilian
en.firstname.f	Хильда	Hilda
en.firstname.f	Олив	Olive
en.firstname.f	Энни	Annie
en.firstname.f	Вайолет	Violet
en.firstname.f	Элис	Alice
en.firstname.f	Патриция	Patricia
en.firstname.f	Айви	Ivy
en.firstname.f	Мюриэль	Muriel
en.firstname.f	Айрис	Iris
en.firstname.f	Эвелин	Evelyn
en.firstname.f	Пегги	Peggy
en.firstname.f	Катерина	Catherine
en.firstname.f	Этель	Ethel
en.firstname.f	Берил	Beryl
en.firstname.f	Гвендолин	Gwendoline
en.firstname.f	Эллен	Ellen
en.firstname.f	Сильвия	Sylvia
en.firstname.f	Шейла	Sheila
en.firstname.f	Роуз	Rose
en.firstname.f	Констанция	Constance
en.firstname.f	Фрэнсис	Frances
en.firstname.f	Лили	Lily
en.firstname.f	Фреда	Freda
en.firstname.f	Марион	Marion
en.firstname.f	Нэнси	Nancy
en.firstname.f	Грейс	Grace
en.firstname.f	Беатрис	Beatrice
en.firstname.f	Сара	Sarah
en.firstname.f	Агнес	Agnes
en.firstname.f	Рут	Ruth
en.firstname.f	Мэй	May
en.firstname.f	Нора	Nora
en.firstname.f	Бренда	Brenda
en.firstname.f	Джесси	Jessie
en.firstname.f	Памела	Pamela
en.firstname.f	Энн	Anne
en.firstname.f	Хелен	Helen
en.firstname.f	Мари	Marie
en.firstname.f	Мейбел	Mabel
en.firstname.f	Ева	Eva
en.firstname.f	Мария	Maria
en.firstname.f	Руби	Ruby
en.firstname.f	Нелли	Nellie
en.firstname.f	Хейзел	Hazel
en.firstname.f	Эмили	Emily
en.firstname.f	Джозефина	Josephine
en.firstname.f	Дафна	Daphne
en.firstname.f	Джейн	Jane
en.firstname.f	Ада	Ada
en.firstname.f	Паулина	Pauline
en.firstname.f	Энн	Ann
en.firstname.f	Энид	Enid
en.firstname.f	Гертруда	Gertrude
en.firstname.f	Рита	Rita
en.firstname.f	Джун	June
en.firstname.f	Стелла	Stella
en.firstname.f	Нора	Norah
en.firstname.f	Мейвис	Mavis
en.firstname.f	Тельма	Thelma
en.firstname.f	Милдред	Mildred
en.firstname.f	Бриджет	Bridget
en.firstname.f	Моника	Monica
en.firstname.f	Дейзи	Daisy
en.firstname.f	Элеонора	Eleanor
en.firstname.f	Лилиан	Lillian
en.firstname.f	Альма	Alma
en.firstname.f	Люси	Lucy
en.firstname.f	Дора	Dora
en.firstname.f	Кристина	Christine
en.firstname.f	Морин	Maureen
en.firstname.f	Джанет	Janet
en.firstname.f	Розмари	Rosemary
en.firstname.f	Ханна	Hannah
en.firstname.f	Сибилла	Sybil
en.firstname.f	Эми	Amy
en.lastname	Корбин	Corbyn
en.lastname	Смит	Smith
en.lastname	Браун	Brown
en.lastname	Тейлор	Taylor
en.lastname	Джонсон	Johnson
en.lastname	Уолкер	Walker
en.lastname	Райт	Wright
en.lastname	Томпсон	Thompson
en.lastname	Робинсон	Robinson
en.lastname	Уайт	White
en.lastname	Холл	Hall
en.lastname	Грин	Green
en.lastname	Мартин	Martin
en.lastname	Вуд	Wood
en.lastname	Харрис	Harris
en.lastname	Кларк	Clarke
en.lastname	Джексон	Jackson
en.lastname	Кларк	Clark
en.lastname	Тёрнер	Turner
en.lastname	Хилл	Hill
en.lastname	Мур	Moore
en.lastname	Купер	Cooper
en.lastname	Уорд	Ward
en.lastname	Кинг	King
en.lastname	Уотсон	Watson
en.lastname	Харрисон	Harrison
en.lastname	Бейкер	Baker
en.lastname	Янг	Young
en.lastname	Аллен	Allen
en.lastname	Андерсон	Anderson
en.lastname	Митчелл	Mitchell
en.lastname	Белл	Bell
en.lastname	Ли	Lee
en.lastname	Паркер	Parker
en.lastname	Дэвис	Davis
en.lastname	Беннетт	Bennett
en.lastname	Миллер	Miller
en.lastname	Шоу	Shaw
en.lastname	Кук	Cook
en.lastname	Ричардсон	Richardson
en.lastname	Маршалл	Marshall
en.lastname	Коллинс	Collins
en.lastname	Картер	Carter
en.lastname	Бейли	Bailey
en.lastname	Грей	Gray
en.lastname	Кокс	Cox
en.lastname	Адамс	Adams
en.lastname	Уилкинсон	Wilkinson
en.lastname	Фостер	Foster
en.lastname	Чепмен	Chapman
en.lastname	Расселл	Russell
en.lastname	Мейсон	Mason
en.lastname	Уэбб	Webb
en.lastname	Роджерс	Rogers
en.lastname	Хант	Hunt
en.lastname	Холмс	Holmes
en.lastname	Миллс	Mills
en.lastname	Палмер	Palmer
en.lastname	Мэттьюс	Matthews
en.lastname	Фишер	Fisher
en.lastname	Барнс	Barnes
en.lastname	Найт	Knight
en.lastname	Харви	Harvey
en.lastname	Дженкинс	Jenkins
en.lastname	Баркер	Barker
en.lastname	Батлер	Butler
en.lastname	Пирсон	Pearson
en.lastname	Стивенс	Stevens
en.lastname	Диксон	Dixon
en.lastname	Хантер	Hunter
en.lastname	Флетчер	Fletcher
en.lastname	Эллиотт	Elliott
en.lastname	Эндрюс	Andrews
en.lastname	Рейнолдс	Reynolds
en.lastname	Фокс	Fox
en.lastname	Говард	Howard
en.lastname	Форд	Ford
en.lastname	Брэдли	Bradley
en.lastname	Сондерс	Saunders
en.lastname	Пейн	Payne
en.lastname	Армстронг	Armstrong
en.lastname	Уэст	West
en.lastname	Уолш	Walsh
en.lastname	Пирс	Pearce
en.lastname	Дей	Day
en.lastname	Доусон	Dawson
en.lastname	Брукс	Brooks
en.lastname	Аткинсон	Atkinson
en.lastname	Коул	Cole
en.lastname	Лоуренс	Lawrence
en.lastname	Бёрнс	Burns
en.lastname	Болл	Ball
en.lastname	Бёртон	Burton
en.lastname	Уильямсон	Williamson
en.lastname	Спенсер	Spencer
en.lastname	Бут	Booth
en.lastname	Роуз	Rose
en.lastname	Уэбстер	Webster
en.lastname	Перри	Perry
en.lastname	Уоттс	Watts
en.lastname	Хейлс	Hales
en.lastname	Роу	Raw
en.lastname	Кахилл	Cahill
en.lastname	Маккерроу	McKerrow
de.adj.eth	Немецкий	German
de.noun.sing.m	Немец	German
de.noun.sing.f	Немка	German
de.noun.pl	Немцы	Germans
de.firstname.m	Ганс	Hans
de.firstname.m	Гюнтер	Günter
de.firstname.m	Карл	Karl
de.firstname.m	Хайнц	Heinz
de.firstname.m	Вернер	Werner
de.firstname.m	Герхард	Gerhard
de.firstname.m	Вальтер	Walter
de.firstname.m	Курт	Kurt
de.firstname.m	Хорст	Horst
de.firstname.m	Гельмут	Helmut
de.firstname.m	Герберт	Herbert
de.firstname.m	Эрнст	Ernst
de.firstname.m	Рудольф	Rudolf
de.firstname.m	Вилли	Willi
de.firstname.m	Рольф	Rolf
de.firstname.m	Эрих	Erich
de.firstname.m	Генрих	Heinrich
de.firstname.m	Отто	Otto
de.firstname.m	Вильгельм	Wilhelm
de.firstname.m	Альфред	Alfred
de.firstname.m	Герман	Hermann
de.firstname.m	Пауль	Paul
de.firstname.m	Эрвин	Erwin
de.firstname.m	Вольфганг	Wolfgang
de.firstname.m	Клаус	Klaus
de.firstname.m	Фриц	Fritz
de.firstname.m	Фридрих	Friedrich
de.firstname.m	Харальд	Harald
de.firstname.m	Франц	Franz
de.firstname.m	Георг	Georg
de.firstname.m	Петер	Peter
de.firstname.m	Эгон	Egon
de.firstname.m	Бруно	Bruno
de.firstname.m	Герд	Gerd
de.firstname.m	Гарри	Harry
de.firstname.m	Йоханнес	Johannes
de.firstname.m	Рихард	Richard
de.firstname.m	Юрген	Jürgen
de.firstname.m	Бернхард	Bernhard
de.firstname.m	Йозеф	Josef
de.firstname.m	Йохан	Johann
de.firstname.m	Йоахим	Joachim
de.firstname.m	Зигфрид	Sigfried
de.firstname.m	Манфред	Manfred
de.firstname.m	Роберт	Robert
de.firstname.m	Альберт	Albert
de.firstname.m	Адольф	Adolf
de.firstname.m	Лотар	Lothar
de.firstname.m	Макс	Max
de.firstname.m	Густав	Gustav
de.firstname.m	Эвальд	Ewald
de.firstname.m	Райнхольд	Reinhold
de.firstname.m	Мартин	Martin
de.firstname.m	Артур	Artur
de.firstname.m	Генри	Henri
de.firstname.m	Карлхайнц	Karlheinz
de.firstname.m	Эдгар	Edgar
de.firstname.m	Руди	Rudi
de.firstname.m	Ульрих	Ulrich
de.firstname.m	Райнхард	Reinhard
de.firstname.m	Вальдемар	Waldemar
de.firstname.m	Эмиль	Emil
de.firstname.m	Арнольд	Arnold
de.firstname.m	Дитрих	Dietrich
de.firstname.m	Арно	Arno
de.firstname.m	Эберхард	Eberhard
de.firstname.m	Теодор	Theodor
de.firstname.m	Эрхард	Erhard
de.firstname.m	Дитер	Dieter
de.firstname.m	Александр	Alexander
de.firstname.m	Эдмунд	Edmund
de.firstname.m	Эдуард	Eduard
de.firstname.m	Хуго	Hugo
de.firstname.m	Уве	Uwe
de.firstname.m	Конрад	Konrad
de.firstname.m	Альфонс	Alfons
de.firstname.m	Людвиг	Ludwig
de.firstname.m	Август	August
de.firstname.m	Хуберт	Hubert
