KEY	Korean	English
__id	ko	en
__name	한국어	English

button.play	플레이
ui.heatlevel.1	<sprite name="ui heat level 1">
ui.heatlevel.2	<sprite name="ui heat level 2">
ui.heatlevel.3	<sprite name="ui heat level 3">
ui.heatlevel.4	<sprite name="ui heat level 4">

ui.heatleveltext	열기 수준: <i>없음</i>
ui.heatlevelexpn	이곳은 도시의 조용한 지역으로, 아직 아무도 주목할만한 인상을 남기지 못했습니다. 아직은 말이죠.
ui.heatleveltext.1	열기 수준: <i>거의 없음</i>
ui.heatlevelexpn.1	경찰이 이 구역에서 일어난 의심스러운 활동에 대해 들었지만, 크게 관심을 두지 않고 있습니다.
ui.heatleveltext.2	열기 수준: <i>약간</i>
ui.heatlevelexpn.2	경찰이 주변을 탐색한다는 소문이 있습니다. 붙잡히지 않도록 조심하세요.
ui.heatleveltext.3	열기 수준: <i>높음</i>
ui.heatlevelexpn.3	경찰이 이 지역에서 일어나는 일에 확실히 관심을 가지고 있습니다. 뇌물을 주지 않는 한 경찰의 방문을 예상하세요.
ui.heatleveltext.4	열기 수준: <i>극도로 높음</i>
ui.heatlevelexpn.4	이 구역은 최고로 뜨거운 상태입니다. 뇌물을 주지 않는 한 빈번한 경찰 방문을 예상하세요.

ui.indays	{num}일 후
ui.indays.1	{num}일 후
ui.days	{num}일
ui.days.1	{num}일
ui.turns	{num}턴
ui.turns.1	{num}턴

ui.trade.sellonce	<sprite name="ui sell">
ui.trade.sellonce.text	판매 제안
ui.trade.sellonce.up-to	(최대 {qtyString} 판매)
ui.trade.sellonce.sales	판매액: {price}

ui.trade.buyonce	<sprite name="ui buy">
ui.trade.buyonce.text	구매 제안
ui.trade.buyonce.up-to	(최대 {qtyString} 구매를 원함)
ui.trade.buyonce.costvcash	비용: {price}.   보유액: {cash}

ui.trade.buysell	<sprite name="ui buy sell">

ui.trade.delivery.sell	예정된 주문대로 {bizdesc}에게 {resdesc} 판매했습니다.
ui.trade.delivery.sinfo	{status} {extra}\n\n{cash}를 받았습니다.
ui.trade.delivery.buy	예정된 주문대로 {bizdesc}로부터 {resdesc} 구매했습니다.
ui.trade.delivery.binfo	{status} {extra}\n\n총 비용: {cash}.

ui.trade.transfer	돈 이동


ui.qty	{qty}
ui.percentage	{x}%
ui.amt-full	({percentage} 가득참)
ui.trade.order.mo	일회성 주문 설정
ui.trade.trade.mo	충분한 관계가 있다면 반복 주문을 설정합니다.
ui.trade.cancel.mo	이 주문을 취소

ui.itempicker.one-time.buy	일회성 구매
ui.itempicker.one-time.sell	일회성 판매
ui.itempicker.biz-stock	그들의 재고
ui.itempicker.offer	당신의 제안
ui.itempicker.car-inv	당신의 차량 재고

ui.moneypicker.money-header	차량과 도박장 사이의 돈 이동
ui.moneypicker.building-inventory	건물 내 현금
ui.moneypicker.vehicle-inventory	차량 내 현금

ui.volume	용량: {vol}
ui.volume.ft3	{num} ft³
ui.volume.m3	{num} m³

ui.length.in	{num} in
ui.length.ft	{big}'{small}"
ui.length.m	{big}.{small}m

ui.arrowpick.icon.mo	배송: {icon}
ui.arrowpick.no-icon.mo	배송

ui.moneypos	${amt}
ui.moneyneg	-${amt}
ui.numpos	+{num}
ui.numneg	-{num}

ui.list.1	{0}
ui.list.2	{0}와(과) {1}
ui.list	{0}, {rest}

ui.value.prop-none	{name}: 0
ui.value.rising	({toval}로 상승 중)
ui.value.falling	({toval}로 하락 중)
ui.value.indented	{value}<indent=40>{msg}</indent>
ui.value.from	{fromval} {arrow}  {difference}

ui.resource.line-a-b	{a} {b}
ui.resource.line-ax-b	{a}x {b}
ui.resource.line-a-b-c	{a} {b} {c}
ui.resource.line-ax-b-c	{a}x {b} {c}
ui.resource.line-a-at-b	{a} @ 개당 {b}
ui.resource.is-illegal	\n\n<i>불법 자원</i>

ui.every-x-days.1	매일
ui.every-x-days	{num}일마다
ui.in-x-days.1	1일 후
ui.in-x-days	{num}일 후

ui.numberplacement.1	1번째
ui.numberplacement.2	2번째
ui.numberplacement.3	3번째
ui.numberplacement.4	4번째
ui.numberplacement.5	5번째
ui.numberplacement.6	6번째
ui.numberplacement.7	7번째
ui.numberplacement.8	8번째
ui.numberplacement.9	9번째
ui.numberplacement.10	10번째
ui.numberplacement.11	11번째
ui.numberplacement.12	12번째
ui.numberplacement.13	13번째
ui.numberplacement.14	14번째
ui.numberplacement.15	15번째
ui.numberplacement.16	16번째
ui.numberplacement.17	17번째
ui.numberplacement.18	18번째
ui.numberplacement.19	19번째
ui.numberplacement.20	20번째
ui.numberplacement.21	21번째
ui.numberplacement.22	22번째
ui.numberplacement.23	23번째
ui.numberplacement.24	24번째
ui.numberplacement.25	25번째
ui.numberplacement.26	26번째
ui.numberplacement.27	27번째
ui.numberplacement.28	28번째
ui.numberplacement.29	29번째
ui.numberplacement.30	30번째
ui.numberplacement.31	31번째
ui.numberplacement.32	32번째
ui.numberplacement.33	33번째
ui.numberplacement.34	34번째
ui.numberplacement.35	35번째
ui.numberplacement.36	36번째
ui.numberplacement.37	37번째
ui.numberplacement.38	38번째
ui.numberplacement.39	39번째
ui.numberplacement.40	40번째
ui.numberplacement.41	41번째
ui.numberplacement.42	42번째
ui.numberplacement.43	43번째
ui.numberplacement.44	44번째
ui.numberplacement.45	45번째
ui.numberplacement.46	46번째
ui.numberplacement.47	47번째
ui.numberplacement.48	48번째
ui.numberplacement.49	49번째
ui.numberplacement.50	50번째
ui.numberplacement.51	51번째
ui.numberplacement.52	52번째
ui.numberplacement.53	53번째
ui.numberplacement.54	54번째
ui.numberplacement.55	55번째
ui.numberplacement.56	56번째
ui.numberplacement.57	57번째
ui.numberplacement.58	58번째
ui.numberplacement.59	59번째
ui.numberplacement.60	60번째
ui.numberplacement.61	61번째
ui.numberplacement.62	62번째
ui.numberplacement.63	63번째
ui.numberplacement.64	64번째
ui.numberplacement.65	65번째
ui.numberplacement.66	66번째
ui.numberplacement.67	67번째
ui.numberplacement.68	68번째
ui.numberplacement.69	69번째
ui.numberplacement.70	70번째

ui.init.loading	게임 로딩 중: {cityname}
ui.init.mapgen	도시 지도 생성 중: {cityname}
ui.init.citygen	도시 지도 배치 중: {cityname}, {year}
ui.init.final	금주법 이후 모드 버전 1.3: 금주법 시대 1920
ui.init.alphabeta	버그를 발견하셨나요? 신고해주세요! 게임 중 F1을 누르세요.

ui.hud.dateturn	{date}  (턴 #{turn})
ui.hud.nextturn	다음 턴
ui.hud.player	AI: {percent}
ui.hud.money-turn	{money}   <size=75%>({deltaString} 이번 턴)</size>
ui.hud.money-turn-short	{money}   <size=75%>{deltaString}</size>

ui.hud.saving.up	<sprite name="ui clock"> 게임 저장 중...
ui.hud.writing.up	<sprite name="ui clock"> 디스크에 쓰는 중...
ui.hud.saving	저장 중, 잠시만 기다려주세요...

ui.hud.peeps	<sprite name="ui peep">: {num}/{max}
ui.hud.cars	<sprite name="ui car">: {num}/{max}
ui.hud.trucks	<sprite name="ui truck">: {num}/{max}
ui.hud.corners	<sprite name="ui corner"> : {num}
ui.hud.peeps.mo	조직원 수용량: {max} 이하\n조직원 상한은 영토 크기에 기반합니다.\n\n{explanation}
ui.hud.cars.mo	승용차 제한: {max} 이하\n차량 수용량은 조직원 크기와 사용 가능한 주차 공간에 기반합니다.\n\n{explanation}
ui.hud.trucks.mo	화물차 제한: {max} 이하\n트럭 수용량은 기술과 사용 가능한 주차 공간에 기반합니다.\n\n{explanation}
ui.hud.corners.mo	당신이 통제하는 구역: {num}

ui.hud.unknown	<b>{name}</b>\n{desc}\n\n{footer}
ui.hud.unknown.resname	알 수 없는 거주지
ui.hud.unknown.bizname	알 수 없는 사업체
ui.hud.unknown.civicname	알 수 없는 건물
ui.hud.unknown.notexplored	이 지역은 아직 탐색되지 않았습니다. 조직원을 보내 확인해보세요!

ui.hud.known.resfooter.1	우편함의 이름: {names}
ui.hud.known.resfooter	우편함들의 이름: {names}
ui.hud.known.resfooter.many	우편함들의 이름: {names}, 그 외 여러명
ui.hud.known.bizsmall	도시 전역에 있는 여러 소규모 사업체 중 하나입니다. 무슨 일이 일어나는지 모릅니다.
ui.hud.known.bizlarge	인상적인 건물입니다. 무슨 일이 일어나는지 모릅니다.

ui.rename.title	<b>명성 획득</b>
ui.rename.header.you	이 지역에서 꽤나 명성을 얻고 있습니다! 사람들이 당신을 알아볼 거리 이름을 선택할 수 있습니다:
ui.rename.header.m	당신의 조직원 {name}이(가) 이 지역에서 꽤나 명성을 얻고 있습니다! 이제부터 사용될 그에게 어울리는 거리 이름을 선택할 수 있습니다:
ui.rename.header.f	당신의 조직원 {name}이(가) 이 지역에서 꽤나 명성을 얻고 있습니다! 이제부터 사용될 그녀에게 어울리는 거리 이름을 선택할 수 있습니다:
ui.rename.example-nickname	스카페이스
ui.rename.describe	이름은 다음과 같이 표시됩니다:\n<align=center><b>{longname}</b></align>\n또는 조직원 목록에서 "{shortname}"로 표시됩니다.
ui.rename.footer	거리 이름은 신중히 선택해주세요. 한 번만 지정할 수 있습니다. 거절하고 기존 이름을 유지할 수도 있습니다.

ui.rename.random-nickname.m	칼날
ui.rename.random-nickname.m	알보
ui.rename.random-nickname.m	박쥐
ui.rename.random-nickname.m	행운아
ui.rename.random-nickname.m	콩알
ui.rename.random-nickname.m	땅콩
ui.rename.random-nickname.m	뚱보
ui.rename.random-nickname.m	냉혈한
ui.rename.random-nickname.m	웃는얼굴
ui.rename.random-nickname.m	벌레
ui.rename.random-nickname.m	블러드하운드
ui.rename.random-nickname.m	뱀
ui.rename.random-nickname.m	막대기
ui.rename.random-nickname.m	부비
ui.rename.random-nickname.m	턱
ui.rename.random-nickname.m	채피
ui.rename.random-nickname.m	집행자
ui.rename.random-nickname.m	올빼미
ui.rename.random-nickname.m	명사수
ui.rename.random-nickname.m	감자
ui.rename.random-nickname.m	녹슨총
ui.rename.random-nickname.m	블랙잭
ui.rename.random-nickname.m	벅시
ui.rename.random-nickname.m	기관총
ui.rename.random-nickname.m	더치
ui.rename.random-nickname.m	그림자
ui.rename.random-nickname.m	뱀눈
ui.rename.random-nickname.m	송곳
ui.rename.random-nickname.m	미친개
ui.rename.random-nickname.m	망치
ui.rename.random-nickname.m	상어
ui.rename.random-nickname.m	왼손잡이
ui.rename.random-nickname.m	공작
ui.rename.random-nickname.m	연기꾼
ui.rename.random-nickname.m	횃불
ui.rename.random-nickname.m	해머
ui.rename.random-nickname.m	쌍권총
ui.rename.random-nickname.m	어둠
ui.rename.random-nickname.m	도살자
ui.rename.random-nickname.m	해결사
ui.rename.random-nickname.m	황소
ui.rename.random-nickname.m	칼날

ui.rename.random-nickname.f	검은과부
ui.rename.random-nickname.f	동안
ui.rename.random-nickname.f	캉고
ui.rename.random-nickname.f	빠른손
ui.rename.random-nickname.f	얼음여왕
ui.rename.random-nickname.f	강철심장
ui.rename.random-nickname.f	고양이
ui.rename.random-nickname.f	여우
ui.rename.random-nickname.f	밤그늘
ui.rename.random-nickname.f	황금빛
ui.rename.random-nickname.f	공주
ui.rename.random-nickname.f	과부제조기
ui.rename.random-nickname.f	붉은칼날
ui.rename.random-nickname.f	빨간망토
ui.rename.random-nickname.f	복숭아

ui.rename.random-nickname.f	불꽃
ui.rename.random-nickname.f	고요한발걸음
ui.rename.random-nickname.f	검은미망인
ui.rename.random-nickname.f	행운의여신
ui.rename.random-nickname.f	여왕
ui.rename.random-nickname.f	총잡이미녀



ui.rename.random-nickname.f	암호랑이
ui.rename.random-nickname.f	천사눈
ui.rename.random-nickname.f	루비빛
ui.rename.random-nickname.f	다이아몬드릴
ui.rename.random-nickname.f	블러디메리
ui.rename.random-nickname.f	백작부인
ui.rename.random-nickname.f	장미엄마

ui.rename.random-nickname.f	벨벳
ui.rename.random-nickname.f	요부
ui.rename.random-nickname.f	고양이발톱
ui.rename.random-nickname.f	슈가
ui.rename.random-nickname.f	공작부인
ui.rename.random-nickname.f	실크

ui.name.simple	{title} {first} {last}
ui.name.nicklong	{title} {first} "{nickname}" {last}
ui.name.nickshort	{title} {nickname} {last}
ui.name.title-cops	경관
ui.name.title-feds	요원

ui.vehicle-cond.good	양호
ui.vehicle-cond.clunker	사용가능
ui.vehicle-cond.junk	사용불가
ui.vehicle-cond.worn	낡음
ui.vehicle-cexp.good	양호한 상태
ui.vehicle-cexp.clunker	사용가능한 상태
ui.vehicle-cexp.junk	사용불가 상태
ui.vehicle-cext.worn	낡은 상태

ui.convo.person.mo	소유자 정보 보기
ui.convo.biz.mo	사업체 정보 보기
ui.convo.rel.mo	관계 정보 보기

ui.personinfo.mouseover	{name}\n\n{ethAndAge}\n\n{workplace}
ui.personinfo.mouseover.short	{name}\n{workplace}\n{details}

ui.personinfo.infostring	{name} {ifDead} ({eth}, 출생 {born})
ui.personinfo.infostring.short	{reltoyou}. {age}. {eth}.
ui.personinfo.age-eth	{age}. {eth}.


ui.personinfo.crew.you	당신은 조직의 보스입니다.
ui.personinfo.crew.peep	{name}은(는) 당신의 조직에 속합니다.
ui.personinfo.crew.action	현재 활동: {action}
ui.personinfo.crew.skills	공유 기술: {num} <sprite name="ui skills">
ui.personinfo.crew.skills.1	공유 기술: {num} <sprite name="ui skills">
ui.personinfo.crew.skills.mo	이 기술들은 모든 조직원들이 공유합니다.\n자세한 내용은 "조직원 기술" 보고서를 확인하세요.\n
ui.personinfo.crew.levelups	새로운 <sprite name="ui level up"> 경험치 사용 가능!
ui.personinfo.crew.levelups.mo	조직원들은 수행하는 작업으로부터 경험을 얻습니다.

ui.personinfo.conn.yours	당신의 인맥:
ui.personinfo.conn.common	공통 인맥:

ui.personinfo.skill.oneline	·<indent=15>{item}</indent>

ui.personinfo.goto.mo	위치로 이동
ui.personinfo.traits-header	성격 특성:
ui.personinfo.trait	·<indent=15>{traitname}</indent>
ui.personinfo.trait.details	·<indent=15><b>{traitname}</b> <i>({traitdesc})</i></indent>
ui.personinfo.trait.icons	{traits}: <size=125%>{icons}</size>

ui.personinfo.levelups.header	<b>{name}</b>\n향상시킬 능력을 선택하세요:

ui.personinfo.levelups-none	경험치: 아직 없음
ui.personinfo.levelups.oneline	·<indent=15>{levelup}</indent>
ui.personinfo.levelups.details	·<indent=15>{levelup}\n<i>{details}</i></indent>
ui.personinfo.levelups.ticker	{name}이(가) 모든 노력으로부터 경험을 얻었습니다.\n\n그들이 향상시킬 능력을 선택하세요.
ui.personinfo.levelups.available	<b>{name}</b> - 레벨 {num}로 향상\n{desc}
ui.personinfo.levelups.icons.0	경험치: 아직 없음
ui.personinfo.levelups.icons	경험치: {icons}

ui.personinfo.filter.header	필터:
ui.personinfo.filter.everyone	모든 공유 인맥
ui.personinfo.filter.family	알려진 모든 가족 구성원
ui.personinfo.filter.friends	알려진 모든 지인
ui.personinfo.filter.gangs	조직 구성원
ui.personinfo.filter.goons	불량배
ui.personinfo.filter.cops	경찰 및 연방 요원

ui.personinfo.unemployed	실업자
ui.personinfo.age	{years}세
ui.personinfo.dead	사망

ui.personinfo.status.defiant	요구 상태: <i>반항적</i>
ui.personinfo.status.compliant	요구 상태: <i>순응적</i>
ui.personinfo.occ.none	미고용
ui.personinfo.occ.unk	직업 불명
ui.personinfo.occ.info	{bizname}에서 근무
ui.personinfo.occ.politician	{ward}의 정치인
ui.personinfo.selected.human	이것은 당신입니다:
ui.personinfo.selected.not-human	당신을 위해 일합니다:

ui.personinfo.selected.goon	지역 불량배
ui.personinfo.selected.opp.boss	보스
ui.personinfo.selected.opp.goon	부하

ui.personinfo.selected.unknown	알 수 없는 사람을 위해 일함

ui.personinfo.rel-exp.opinion	<b>당신에 대한 그들의 의견: {rating}점</b>
ui.personinfo.rel-exp.none	<b>당신에 대한 그들의 의견: 없음</b>

ui.personinfo.action-string.idle	대기
ui.personinfo.action-string.driving	운전 중
ui.personinfo.action-string.busy	바쁨

ui.personinfo.selected.compose	{prefix}: {groupname} {compliance}

ui.personinfo.dialog.header	<size=150%>{name}</size>\n{workplace}\n{details}



ui.stationinfo.header	{groupname}\n{precinct}
ui.stationinfo.loc	위치:\n{cornerinfo}
ui.stationinfo.status.coop	상태:\n협조 중
ui.stationinfo.status.noop	상태:\n비협조
ui.stationinfo.officers	근무 중인 경관들:
ui.stationinfo.officers.card.influenced	\n<i>(당신의 영향력 아래)</i>
ui.stationinfo.officers.card.name	{name} {influenced}

ui.icon.movement	<sprite name="ui movement pts">
ui.icon.actions	<sprite name="ui action pts">
ui.icon.health	<sprite name="ui health">
ui.icon.car	<sprite name="ui car">
ui.icon.weapon	<sprite name="res cat weapons">
ui.icon.tire	<sprite name="ui tire">

ui.combine.icon-and-name	{icon} {name}
ui.combine.icon-name-and-units	{icon} {name}: {qtyunits}
ui.combine.icon-and-desc	{icon}<indent=30>{desc}</indent>

ui.xp	<sprite name="xp general">
ui.xp.num	{num} <sprite name="xp general">
ui.xp.plus	<sprite name="ui level up"><sprite name="ui xp arrow">

ui.conn	<sprite name="ui pip social">
ui.conn.num	{num} <sprite name="ui pip social">
ui.conn.qmark	<sprite name="ui pip social">

ui.movementcost	<size=75%>{num} <sprite name="ui movement pts"></size>
ui.movementcost.fail	불충분한\n<sprite name="ui movement pts"> 이동 포인트
ui.actioncost.fail	불충분한\n<sprite name="ui action pts"> 행동 포인트

ui.playerskills.learned	당신의 조직이 새로운 기술을 배웠습니다: <b>{name}</b>\n\n{desc}\n\n이제 당신의 조직원 모두가 이 새로운 지식의 혜택을 받을 수 있습니다.
ui.playerskills.resource	새로운 자원에 대해 배웠습니다!\n\n{name}: {desc}\n\n일부 사업체들이 이 자원에 관심을 가질 수 있습니다. 이미 알고 있는 곳이나 아직 발견되지 않은 곳들이 있을 것입니다.

ui.crewlistinfo.header	조직원 정보
ui.crewlistinfo.desc	항목을 클릭하여 자세한 정보를 확인하세요
ui.crewlistinfo.current	현재 조직원
ui.crewlistinfo.past	과거 조직원
ui.crewlistinfo.potential	당신의 조직에 합류하고자 하는 사람들
ui.crewlistinfo.tmpl.current	{name}
ui.crewlistinfo.tmpl.past	{name} <size=80%>(사망)</size>
ui.crewlistinfo.tmpl.potential	{name}\n<size=80%>당신의 조직에 관심 있음</size>
ui.crewlistinfo.desc.header	<size=150%>{name}</size>\n{workplace}\n{details}
ui.crewlistinfo.desc.current	현재 급여: 턴당 {money}.\n{details}
ui.crewlistinfo.desc.past	이 조직원은 {year}년에 사망했습니다.\n가족 지원금: 턴당 {money}.
ui.crewlistinfo.desc.potential	{firstname}은(는) 일자리를 찾고 있습니다. 조직 확장에 관심이 있으시다면, {friendname}과(와) 대화하여 소개를 받으세요.
ui.crewlistinfo.desc.details	{traits}\n\n{levelups}
ui.crewlistinfo.with-trait	특성 포함:
ui.crewlistinfo.any-trait	아무거나

ui.crewinfo.manage.mo	조직원 관리
ui.crewinfo.peep.mo	이 조직원에 대한\n자세한 정보 보기
ui.crewinfo.corner.mo	이 구역에 대한\n자세한 정보 보기
ui.crewinfo.scheme.mo	이 조직원의 현재 계획 열기
ui.crewinfo.goto.mo	이 구역에 시점 집중
ui.crewinfo.vehicle.mo	차량 중 하나에 배정하거나\n건물을 관리하도록 배정
ui.crewinfo.automate.mo	배송 경로 편집
ui.crewinfo.name	<b>{name}</b>
ui.crewinfo.namedead	{name}
ui.crewinfo.descdead	<i>사망</i>
ui.crewinfo.descaction	<i>{action}</i>
ui.crewinfo.descpoints	<sprite name="ui action pts"> {actions}  <sprite name="ui movement pts"> {movements}
ui.crewinfo.pickone	대화할 사람을 선택하세요.
ui.crewinfo.pickone.safehouse	이 은신처와 상호작용할 사람을 선택하세요.
ui.crewinfo.pickone.biz	이 사업체와 대화할 사람을 선택하세요.
ui.crewinfo.pickone.civic	이 공공 건물과 상호작용할 사람을 선택하세요.
ui.crewinfo.newhire	새 조직원: {name}.\n\n새 조직원이 주 은신처에 도착해 열심히 명령을 기다리고 있습니다.

ui.crewinfo.edit-button.mo	항목 재구성
ui.crewinfo.edit-card.mo	이 항목을 클릭하여 이동

ui.crewinfo.module	{name}
ui.crewinfo.nomodule	<i>운영 없음</i>
ui.crewinfo.manager	<b>{name}</b>, 관리자.
ui.crewinfo.nomanager.desc	관리자 없음
ui.crewinfo.nomanager.gambling	<sprite name="ui gambling unfunded"> 관리자 없음

ui.crewinfo.building.mo	<b>{bizname}</b>\n운영: {opname}\n관리자: {peepname}
ui.crewinfo.building.mo.none	없음	;; e.g. "Manager: none" or "Operation: none"
ui.crewinfo.building.mo.nooperation	\n\n운영 없음. 이 건물에 뒷방 운영을 설치할 수 있습니다.
ui.crewinfo.building.mo.nomanager	\n\n관리자 없음. 조직원 중 한 명을 이 건물 관리자로 배정하세요.
ui.crewinfo.building.mo.resultcash	<sprite name="ui arr big right"> <sprite name="res cash">
ui.crewinfo.building.mo.resultres	<sprite name="ui arr big right">
ui.crewinfo.building.mo.cycletime	\n{consumeDays}일마다 ({consumeTurns}턴)
ui.crewinfo.building.mo.cycletime-with-progress	\n{consumeDays}일마다 ({consumeTurns}턴). {percentage} 완료.
ui.crewinfo.building.mo.buildtime	건설 중\n{daysleft}일 더 ({turnsleft}턴)

ui.crewinfo.desc-idle	미배정
ui.crewinfo.desc-manager	{bizname}
ui.crewinfo.desc-arrested	체포됨, {date}에 재판 대기 중
ui.crewinfo.desc-imprisoned	{date}까지 연방 교도소에 수감
ui.crewinfo.scheming	계획 수행 중

ui.crewinfo.name-and-group	\n<size=80%>{group}</size>

ui.crewinfo.vehicle.describe	\n\n{inventory}

ui.crewlist.header.currmax	당신의 조직 ({current}/{max}):

ui.crewinfo.delivery-manage	관리 <sprite name="ui delivery route">
ui.crewinfo.delivery-setup	<align=center><i>클릭하여 새 배송 설정</i></align>
ui.crewinfo.delivery-noassign	배정된 사람 없음

ui.crewinfo.crewtype.muscle	행동대원
ui.crewinfo.crewtype.building	건물
ui.crewinfo.crewtype.deliveries	배송
ui.crewinfo.crewtype.none-crew	미배정 조직원
ui.crewinfo.crewtype.none-vehicle	미배정 차량
ui.crewinfo.crewtype.in-scheme	계획 중

ui.crewinfo.act-cost.move	{cost} <sprite name="ui action pts"> 행동 포인트 소비
ui.crewinfo.act-cost.action	{cost} <sprite name="ui movement pts"> 이동 포인트 소비

ui.crewinfo.popup.mgmt	조직원 관리

ui.crewinfo.mo-action-pts	<sprite name="ui action pts"> 행동 포인트
ui.crewinfo.mo-movement-pts	<sprite name="ui movement pts"> 이동 포인트
ui.crewinfo.mo-remaining	이번 턴 남은 것:\n<indent=10><b>{actionLeft}</b> {actionPtsLabel}</indent>\n<indent=10><b>{movementLeft}</b> {movementPtsLabel}</indent>\n\n
ui.crewinfo.mo-generated	다음 턴에 생성되는 포인트:
ui.crewinfo.mo-line	<indent=10>{points} {label}</indent>
ui.crewinfo.mo-arrested	{name}은(는) 연방 교도소에서 재판을 기다리고 있습니다! \n<b>경찰서에 친구가 있다면,</b>\n그들이 빼낼 수 있을지도 모릅니다.\n\n
ui.crewinfo.veh-desc	수리소 및/또는 주차 공간 포함

ui.crewinfo.stat.peepskilled	살해한 사람 {value}
ui.crewinfo.stat.boozesold	판매한 술 {value}
ui.crewinfo.stat.boozeproduced	생산한 술 {value}
ui.crewinfo.stat.totaltransactions	총 거래 {value}
ui.crewinfo.stat.convos	대화 {value}
ui.crewinfo.stat.goondeals	불량배와의 사업 거래 {value}
ui.crewinfo.stat.gamblersextorted	갈취한 도박꾼 {value}
ui.crewinfo.stat.gamblersforgiven	용서한 도박꾼 {value}
ui.crewinfo.stat.gamblerskicked	쫓아낸 도박꾼 {value}
ui.crewinfo.stat.businessesextorted	갈취한 사업체 {value}
ui.crewinfo.stat.frontsprotected	보호한 프론트 {value}
ui.crewinfo.stat.frontsattacked	전복시킨 프론트 {value}
ui.crewinfo.stat.buildingsattacked	공격한 건물 {value}
ui.crewinfo.stat.buildingsrepaired	수리한 건물 {value}
ui.crewinfo.stat.copsbribed	뇌물 준 경찰 {value}
ui.crewinfo.stat.arrested	체포된 횟수 {value}
ui.crewinfo.stat.drivedistance	운전한 거리 {value}
ui.crewinfo.stat.nodescouted	탐색한 구역 {value}
ui.crewinfo.stat.bizscouted	발견한 사업체 {value}
ui.crewinfo.stat.gangtruces	중재한 휴전 {value}
ui.crewinfo.stat.resvisited	참석한 주거 행사 {value}
